POLYMER_USED,DRUG,POLYMER_PSMILES,DRUG_SMILES,WATER_PH,CONCENTRATION,CAPACITY,SOURCE,ANALYZED_BY,PAPER
SDS-chitosan,Cr(III),*C(C(C(C(C(CO)O)O)O)O)*,[Cr+3],4,1.0,0.75,,gemma4:26b (pdf2image),Adsorption_of_CrIII_from_an_Aqueous_Solution_by_Chitosan_Beads_Modified_with_Sodium_Dodecyl_Sulfate_SDS
bacterial cellulose aerogel,methylene blue,*C(C(C(C(C(CO)O)O)O)O)*,CN(C)c1ccc2c(c1)sc3cc(ccc3n2)N(C)C,4,50,16,,gemma4:26b (pdf2image),Bacterial_Cellulose_Aerogels_Derived_from_Pineapple_Peel_Waste_for_the_Adsorption_of_Dyes
bacterial cellulose aerogel,Congo red,*C(C(C(C(C(CO)O)O)O)O)*,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+],6.5,200,101.4,,gemma4:26b (pdf2image),Bacterial_Cellulose_Aerogels_Derived_from_Pineapple_Peel_Waste_for_the_Adsorption_of_Dyes
bacterial cellulose aerogel,Crystal violet,*C(C(C(C(C(CO)O)O)O)O)*,CN(C)c1ccc(cc1)C(=C2C=CC(=[N+](C)C)C=C2)c3ccc(cc3)N(C)C,6.5,200,48.6,,gemma4:26b (pdf2image),Bacterial_Cellulose_Aerogels_Derived_from_Pineapple_Peel_Waste_for_the_Adsorption_of_Dyes
bacterial cellulose aerogel,Malachite green,*C(C(C(C(C(CO)O)O)O)O)*,CN(C)c1ccc(cc1)C(=C2C=CC(=[N+](C)C)C=C2)c3ccccc3,6.5,200,48.6,,gemma4:26b (pdf2image),Bacterial_Cellulose_Aerogels_Derived_from_Pineapple_Peel_Waste_for_the_Adsorption_of_Dyes
bacterial cellulose aerogel,Methylene blue,*C(C(C(C(C(CO)O)O)O)O)*,CN(C)c1ccc2c(c1)sc3cc(ccc3n2)N(C)C,6.5,200,27,,gemma4:26b (pdf2image),Bacterial_Cellulose_Aerogels_Derived_from_Pineapple_Peel_Waste_for_the_Adsorption_of_Dyes
bacterial cellulose aerogel,Rhodamine B,*C(C(C(C(C(CO)O)O)O)O)*,CCN(CC)c1ccc2c(c1)c(c3ccccc3o2)c4ccc(cc4)C(=O)O,6.5,200,33,,gemma4:26b (pdf2image),Bacterial_Cellulose_Aerogels_Derived_from_Pineapple_Peel_Waste_for_the_Adsorption_of_Dyes
Chitosan-walnut shells composite (Ch-W),Levofloxacin,*C(C(C(C(C(CO)O)O)O)O)*,C[C@H]1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,4,10,4.23,,gemma4:26b (pdf2image),Carbon_Dots_Derived_from_Waste_Fish_Scale_for_Enhanced_Removal_of_Levofloxacin_Drug_Parametric_Optimization_Isotherm_and_Kinetic_Studies
sodium alginate,Cr(VI),*C(C(C(C(=O)[O-])O)O)*,[Cr+6],6,175,270,,gemma4:26b (pdf2image),Comparison_Study_of_ANFIS_ANN_and_RSM_and_Mechanistic_Modeling_for_ChromiumVI_Removal_Using_Modified_Cellulose_NanocrystalsSodium_Alginate_CNCAlg
GO_3@PVA,Methylene Blue,*CC(O)*,CN(C)c1ccc2c(c1)sc3cc(ccc3n2)N(C)C,9,50,247,,gemma4:26b (pdf2image),Developing_a_new_sustainable_eco-adsorbent_film_from_flexographic_printing_plate_waste_to_remove_cationic_organic_and_inorganic_pollutants
GO_3@PVA,Methylene Blue,*CC(O)*,CN(C)c1ccc2c(c1)sc3cc(ccc3n2)N(C)C,9,100,448,,gemma4:26b (pdf2image),Developing_a_new_sustainable_eco-adsorbent_film_from_flexographic_printing_plate_waste_to_remove_cationic_organic_and_inorganic_pollutants
PPy,metronidazole,*c1cc[nH]c1*,CC1=NC=C(N1CCO)[N+](=O)[O-],6.17,10,0.95,,gemma4:26b (pdf2image),Experimental_and_DFT_studies_of_the_removal_of_pharmaceutical_metronidazole_from_water_using_polypyrrole
PPy,metronidazole,*c1cc[nH]c1*,CC1=NC=C(N1CCO)[N+](=O)[O-],6.17,10,1.8,,gemma4:26b (pdf2image),Experimental_and_DFT_studies_of_the_removal_of_pharmaceutical_metronidazole_from_water_using_polypyrrole
PPy,metronidazole,*c1cc[nH]c1*,CC1=NC=C(N1CCO)[N+](=O)[O-],6.17,50,3.0,,gemma4:26b (pdf2image),Experimental_and_DFT_studies_of_the_removal_of_pharmaceutical_metronidazole_from_water_using_polypyrrole
PPy,metronidazole,*c1cc[nH]c1*,CC1=NC=C(N1CCO)[N+](=O)[O-],6.17,100,3.8,,gemma4:26b (pdf2image),Experimental_and_DFT_studies_of_the_removal_of_pharmaceutical_metronidazole_from_water_using_polypyrrole
PPy,metronidazole,*c1cc[nH]c1*,CC1=NC=C(N1CCO)[N+](=O)[O-],6.17,150,4.2,,gemma4:26b (pdf2image),Experimental_and_DFT_studies_of_the_removal_of_pharmaceutical_metronidazole_from_water_using_polypyrrole
PPy,metronidazole,*c1cc[nH]c1*,CC1=NC=C(N1CCO)[N+](=O)[O-],6.17,200,4.5,,gemma4:26b (pdf2image),Experimental_and_DFT_studies_of_the_removal_of_pharmaceutical_metronidazole_from_water_using_polypyrrole
Ti/PANI,methyl orange,*C1=CC=C(N)C=C1*,CN(C)c1ccc(cc1)N=Nc2ccc(cc2)S(=O)(=O)[O-],7,120,113.16,,gemma4:26b (pdf2image),High_Removal_Efficiency_of_Methyl_Orange_Dye_by_Pure_and_Cu_N_Doped_TiO2Polyaniline_Nanocomposites
PANI,Methyl Orange,*C1=CC=C(N)C=C1*,CN(C)c1ccc(cc1)N=Nc2ccc(cc2)S(=O)(=O)[O-],7,120,75,,gemma4:26b (pdf2image),High_Removal_Efficiency_of_Methyl_Orange_Dye_by_Pure_and_Cu_N_Doped_TiO2Polyaniline_Nanocomposites
Ti/PANI,Methyl Orange,*C1=CC=C(N)C=C1*,CN(C)c1ccc(cc1)N=Nc2ccc(cc2)S(=O)(=O)[O-],7,120,85,,gemma4:26b (pdf2image),High_Removal_Efficiency_of_Methyl_Orange_Dye_by_Pure_and_Cu_N_Doped_TiO2Polyaniline_Nanocomposites
EDTA grafted chitosan,Co(II),*C(C(C(C(C(CO)O)O)O)O)*,[Co+2],7,40,61,,gemma4:26b (pdf2image),State-of-the-art_modification_mechanistic_insight_and_breakthrough_curve_analysis_of_chitosan_scaffolds_for_sustainable_heavy_metal_adsorbent
chitosan-glutaraldehyde,Direct Blue 71,*C(C(C(C(C(CO)O)O)O)O)*,C1=CC=C2C(=C1)C(=CC=C2N=NC3=CC4=C(C=CC=C4S(=O)(=O)[O-])C(=C3)S(=O)(=O)[O-])N=NC5=C6C=CC(=CC6=C(C=C5)N=NC7=C(C=C8C=C(C=CC8=C7O)N)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+],4,15,125.89,,gemma4:26b (pdf2image),Study_of_a_fixed-bed_column_in_the_adsorption_of_an_azo_dye_from_an_aqueous_medium_using_a_chitosanglutaraldehyde_biosorbent
chitosan-glutaraldehyde,Direct Blue 71,*C(C(C(C(C(CO)O)O)O)O)*,C1=CC=C2C(=C1)C(=CC=C2N=NC3=CC4=C(C=CC=C4S(=O)(=O)[O-])C(=C3)S(=O)(=O)[O-])N=NC5=C6C=CC(=CC6=C(C=C5)N=NC7=C(C=C8C=C(C=CC8=C7O)N)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+],4,15,132.26,,gemma4:26b (pdf2image),Study_of_a_fixed-bed_column_in_the_adsorption_of_an_azo_dye_from_an_aqueous_medium_using_a_chitosanglutaraldehyde_biosorbent
chitosan-glutaraldehyde,Direct Blue 71,*C(C(C(C(C(CO)O)O)O)O)*,C1=CC=C2C(=C1)C(=CC=C2N=NC3=CC4=C(C=CC=C4S(=O)(=O)[O-])C(=C3)S(=O)(=O)[O-])N=NC5=C6C=CC(=CC6=C(C=C5)N=NC7=C(C=C8C=C(C=CC8=C7O)N)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+],4,15,106.15,,gemma4:26b (pdf2image),Study_of_a_fixed-bed_column_in_the_adsorption_of_an_azo_dye_from_an_aqueous_medium_using_a_chitosanglutaraldehyde_biosorbent
chitosan-glutaraldehyde,Direct Blue 71,*C(C(C(C(C(CO)O)O)O)O)*,C1=CC=C2C(=C1)C(=CC=C2N=NC3=CC4=C(C=CC=C4S(=O)(=O)[O-])C(=C3)S(=O)(=O)[O-])N=NC5=C6C=CC(=CC6=C(C=C5)N=NC7=C(C=C8C=C(C=CC8=C7O)N)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+],4,15,102.31,,gemma4:26b (pdf2image),Study_of_a_fixed-bed_column_in_the_adsorption_of_an_azo_dye_from_an_aqueous_medium_using_a_chitosanglutaraldehyde_biosorbent
chitosan-glutaraldehyde,Direct Blue 71,*C(C(C(C(C(CO)O)O)O)O)*,C1=CC=C2C(=C1)C(=CC=C2N=NC3=CC4=C(C=CC=C4S(=O)(=O)[O-])C(=C3)S(=O)(=O)[O-])N=NC5=C6C=CC(=CC6=C(C=C5)N=NC7=C(C=C8C=C(C=CC8=C7O)N)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+],4,50,343.59,,gemma4:26b (pdf2image),Study_of_a_fixed-bed_column_in_the_adsorption_of_an_azo_dye_from_an_aqueous_medium_using_a_chitosanglutaraldehyde_biosorbent
PET,Pb(II),*CCOC(=O)c1ccc(cc1)C(=O)*,[Pb+2],2.0,400,13.16,,gemma4:26b (pdf2image),Sulfur_modification_of_PET_fibers_and_lead_ion_sorption_from_wastewaters_kinetics_and_isotherms_studies
PANI,Cr(VI),*C1=CC=C(N)C=C1*,[Cr+6],2,10,236.36,,gemma4:26b (pdf2image),Tailored_magnetic_hybrid_composites_with_recoverable_properties_for_efficient_Cr_scpviscp_adsorption_and_reduction_a_synergistic_experimental_and_theoretical_study
chitosan,methylene blue,*C(C(C(C(C(CO)O)O)O)O)*,CN(C)c1ccc2c(c1)sc3cc(ccc3n2)N(C)C,5.8,20,11,,gemma4:26b (pdf2image),Using_chitosan_made_from_modified_chitosan_Crab_shells_for_dye_adsorption_equilibrium_kinetic_and_response_surface_methods
