ROW_IDX,PAPER,DRUG,POLYMER_USED,DRUG_SMILES,POLYMER_PSMILES,WATER_PH,CONCENTRATION,CAPACITY,FORMAT_OK,FORMAT_REASON,SMILES_VALID_OK,SMILES_VALID_REASON,PSMILES_VALID_OK,PSMILES_VALID_REASON,CAPPING_OK,CAPPING_REASON,LOGP_OK,LOGP_REASON,FINGERPRINT_OK,FINGERPRINT_REASON,LOGD_OK,LOGD_REASON,NET_CHARGE_OK,NET_CHARGE_REASON,POLYMETRIX_PSMILES_OK,POLYMETRIX_PSMILES_REASON,POLYMETRIX_SMILES_OK,POLYMETRIX_SMILES_REASON,OVERALL_OK,FAILURE_STAGE,FAILURE_REASON
10,,Methylene blue,BC aerogel,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],[*]OC1OC(CO)C(O[*])C(O)C1O,9.5,50.0,15.8,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
11,,Methylene blue,BC aerogel,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],[*]OC1OC(CO)C(O[*])C(O)C1O,11.0,50.0,16.3,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
12,,Rhodamine B,BC aerogel,CCN(CC)c1ccc2c(c1)Oc1cc(N(CC)CC)ccc1c2-c1ccccc1C(=O)O.[Cl-],[*]OC1OC(CO)C(O[*])C(O)C1O,6.5,200.0,28.0,True,,False,RDKit MolFromSmiles returned None,True,,True,,False,SKIPPED,False,SKIPPED,False,SKIPPED,False,SKIPPED,True,,False,SKIPPED,False,SMILES_VALID,RDKit MolFromSmiles returned None
13,,Crystal violet,BC aerogel,CN(C)c1ccc(cc1)[C+](c1ccc(N(C)C)cc1)c1ccc(N(C)C)cc1.[Cl-],[*]OC1OC(CO)C(O[*])C(O)C1O,6.5,200.0,33.0,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
14,,Malachite green,BC aerogel,CN(C)c1ccc(cc1)[C+](c1ccccc1)c1ccc(N(C)C)cc1.[Cl-],[*]OC1OC(CO)C(O[*])C(O)C1O,6.5,200.0,48.6,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
15,,Congo red,BC aerogel,Nc1ccc2cc(ccc2c1N=Nc1ccc(cc1)-c1ccc(cc1)N=Nc1c(N)ccc2cc(ccc12)S(=O)(=O)[O-])S(=O,[*]OC1OC(CO)C(O[*])C(O)C1O,6.5,200.0,101.4,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
16,,Methyl orange,BC aerogel,CN(C)c1ccc(cc1)N=Nc1ccc(cc1)S(=O)(=O)[O-].[Na+],[*]OC1OC(CO)C(O[*])C(O)C1O,6.5,200.0,0.0,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
17,,Sunset yellow,BC aerogel,Oc1ccc2cc(ccc2c1N=Nc1ccc(cc1)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+],[*]OC1OC(CO)C(O[*])C(O)C1O,6.5,200.0,0.0,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
18,,Quinoline yellow,BC aerogel,O=C1c2ccccc2C(=O)C1c1ccc2ccccc2n1,[*]OC1OC(CO)C(O[*])C(O)C1O,6.5,200.0,0.0,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
19,,Methylene blue,Cellulose citrate,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],[*]OC1OC(COC(=O)CC(O)(CC(=O)O)C(=O)O)C(O[*])C(O)C1O,6.2,10.0,9.57,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
20,,Methylene blue,Cellulose citrate,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],[*]OC1OC(COC(=O)CC(O)(CC(=O)O)C(=O)O)C(O[*])C(O)C1O,6.2,20.0,18.0,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
21,,Methylene blue,Cellulose citrate,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],[*]OC1OC(COC(=O)CC(O)(CC(=O)O)C(=O)O)C(O[*])C(O)C1O,6.2,30.0,26.86,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
22,,Methylene blue,Cellulose citrate,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],[*]OC1OC(COC(=O)CC(O)(CC(=O)O)C(=O)O)C(O[*])C(O)C1O,6.2,40.0,36.5,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
23,,Methylene blue,Cellulose citrate,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],[*]OC1OC(COC(=O)CC(O)(CC(=O)O)C(=O)O)C(O[*])C(O)C1O,6.2,50.0,45.5,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
24,,Methylene blue,Cellulose citrate,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],[*]OC1OC(COC(=O)CC(O)(CC(=O)O)C(=O)O)C(O[*])C(O)C1O,6.2,70.0,59.0,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
25,,Methylene blue,Cellulose citrate,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],[*]OC1OC(COC(=O)CC(O)(CC(=O)O)C(=O)O)C(O[*])C(O)C1O,6.2,100.0,77.5,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
26,,Methylene blue,Cellulose citrate,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],[*]OC1OC(COC(=O)CC(O)(CC(=O)O)C(=O)O)C(O[*])C(O)C1O,6.2,120.0,82.0,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
27,,Methylene blue,Cellulose citrate,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],[*]OC1OC(COC(=O)CC(O)(CC(=O)O)C(=O)O)C(O[*])C(O)C1O,6.2,150.0,88.0,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
28,,Methylene blue,Cellulose citrate,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],[*]OC1OC(COC(=O)CC(O)(CC(=O)O)C(=O)O)C(O[*])C(O)C1O,3.0,30.0,25.55,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
29,,Methylene blue,Cellulose citrate,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],[*]OC1OC(COC(=O)CC(O)(CC(=O)O)C(=O)O)C(O[*])C(O)C1O,4.0,30.0,26.4,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
30,,Methylene blue,Cellulose citrate,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],[*]OC1OC(COC(=O)CC(O)(CC(=O)O)C(=O)O)C(O[*])C(O)C1O,5.0,30.0,26.7,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
31,,Methylene blue,Cellulose citrate,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],[*]OC1OC(COC(=O)CC(O)(CC(=O)O)C(=O)O)C(O[*])C(O)C1O,6.0,30.0,26.85,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
32,,Methylene blue,Cellulose citrate,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],[*]OC1OC(COC(=O)CC(O)(CC(=O)O)C(=O)O)C(O[*])C(O)C1O,7.0,30.0,27.75,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
33,,Methylene blue,Cellulose citrate,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],[*]OC1OC(COC(=O)CC(O)(CC(=O)O)C(=O)O)C(O[*])C(O)C1O,8.0,30.0,27.8,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
34,,Methylene blue,Cellulose citrate,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],[*]OC1OC(COC(=O)CC(O)(CC(=O)O)C(=O)O)C(O[*])C(O)C1O,9.0,30.0,28.0,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
35,,Methylene blue,Cellulose citrate,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],[*]OC1OC(COC(=O)CC(O)(CC(=O)O)C(=O)O)C(O[*])C(O)C1O,10.0,30.0,28.1,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
36,,Methylene blue,Coconut husk cellulose,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],[*]OC1OC(CO)C(O[*])C(O)C1O,7.0,30.0,2.9034,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
37,,Congo red,PANI,Nc1ccc2cc(ccc2c1N=Nc1ccc(cc1)-c1ccc(cc1)N=Nc1c(N)ccc2cc(ccc12)S(=O)(=O)[O-])S(=O,[*]Nc1ccc(N[*])cc1,6.55,20.0,250.01,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
38,,Congo red,Polypyrrole,Nc1ccc2cc(ccc2c1N=Nc1ccc(cc1)-c1ccc(cc1)N=Nc1c(N)ccc2cc(ccc12)S(=O)(=O)[O-])S(=O,[*]c1ccc([*])[nH]1,6.55,20.0,66.66,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
39,,Methylene blue,PANI powder,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],[*]Nc1ccc(N[*])cc1,nan,3.9,13.854,False,WATER_PH=NaN,True,,True,,True,,True,,True,,False,SKIPPED,False,SKIPPED,True,,True,,False,FORMAT,WATER_PH=NaN
40,,Methylene blue,Coconut husk cellulose,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],[*]OC1OC(CO)C(O[*])C(O)C1O,5.0,65.0,5.883,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
41,,Methylene blue,Coconut husk cellulose,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],[*]OC1OC(CO)C(O[*])C(O)C1O,5.0,124.0,11.445,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
42,,Methylene blue,Coconut husk cellulose,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],[*]OC1OC(CO)C(O[*])C(O)C1O,8.36,65.0,6.149,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
43,,Methylene blue,Coconut husk cellulose,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],[*]OC1OC(CO)C(O[*])C(O)C1O,5.0,65.0,5.883,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
44,,Methylene blue,Coconut husk cellulose,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],[*]OC1OC(CO)C(O[*])C(O)C1O,3.0,30.0,2.526,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
45,,Methylene blue,Coconut husk cellulose,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],[*]OC1OC(CO)C(O[*])C(O)C1O,5.0,65.0,5.889,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
46,,Methylene blue,Coconut husk cellulose,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],[*]OC1OC(CO)C(O[*])C(O)C1O,7.0,100.0,9.05,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
47,,Methylene blue,Coconut husk cellulose,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],[*]OC1OC(CO)C(O[*])C(O)C1O,3.0,100.0,7.59,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
48,,Methylene blue,Coconut husk cellulose,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],[*]OC1OC(CO)C(O[*])C(O)C1O,5.0,65.0,5.161,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
49,,Methylene blue,Coconut husk cellulose,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],[*]OC1OC(CO)C(O[*])C(O)C1O,3.0,100.0,8.44,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
50,,Methylene blue,Coconut husk cellulose,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],[*]OC1OC(CO)C(O[*])C(O)C1O,7.0,100.0,9.65,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
51,,Methylene blue,Coconut husk cellulose,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],[*]OC1OC(CO)C(O[*])C(O)C1O,1.64,65.0,4.66,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
52,,Methylene blue,Coconut husk cellulose,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],[*]OC1OC(CO)C(O[*])C(O)C1O,7.0,30.0,2.904,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
53,,Methylene blue,Coconut husk cellulose,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],[*]OC1OC(CO)C(O[*])C(O)C1O,5.0,65.0,5.954,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
54,,Methylene blue,Coconut husk cellulose,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],[*]OC1OC(CO)C(O[*])C(O)C1O,5.0,65.0,5.941,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
55,,Methylene blue,Coconut husk cellulose,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],[*]OC1OC(CO)C(O[*])C(O)C1O,5.0,65.0,5.909,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
56,,Methylene blue,Coconut husk cellulose,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],[*]OC1OC(CO)C(O[*])C(O)C1O,5.0,65.0,5.934,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
57,,Methylene blue,Coconut husk cellulose,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],[*]OC1OC(CO)C(O[*])C(O)C1O,7.0,30.0,2.769,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
58,,Methylene blue,Coconut husk cellulose,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],[*]OC1OC(CO)C(O[*])C(O)C1O,3.0,30.0,2.334,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
59,,Methylene blue,Coconut husk cellulose,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],[*]OC1OC(CO)C(O[*])C(O)C1O,5.0,6.0,0.561,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
