ROW_IDX,PAPER,DRUG,POLYMER_USED,DRUG_SMILES,POLYMER_PSMILES,WATER_PH,CONCENTRATION,CAPACITY,FORMAT_OK,FORMAT_REASON,SMILES_VALID_OK,SMILES_VALID_REASON,PSMILES_VALID_OK,PSMILES_VALID_REASON,CAPPING_OK,CAPPING_REASON,LOGP_OK,LOGP_REASON,FINGERPRINT_OK,FINGERPRINT_REASON,LOGD_OK,LOGD_REASON,NET_CHARGE_OK,NET_CHARGE_REASON,POLYMETRIX_PSMILES_OK,POLYMETRIX_PSMILES_REASON,POLYMETRIX_SMILES_OK,POLYMETRIX_SMILES_REASON,OVERALL_OK,FAILURE_STAGE,FAILURE_REASON
10,Adsorption_of_malachite_green_by_polyanilinenickel_ferrite_magnetic_nanocomposite_an_isotherm_and_kinetic_study,Malachite green,PANI-NiFe2O4,CN(C)c1ccc(cc1)C(=C2C=CC(=[N+](C)C)C=C2)c3ccccc3,*C1=CC=C(N)C1=*,7,90,8.62,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
11,Adsorption_of_malachite_green_by_polyanilinenickel_ferrite_magnetic_nanocomposite_an_isotherm_and_kinetic_study,Malachite green,PANI-NiFe2O4,CN(C)c1ccc(cc1)C(=C2C=CC(=[N+](C)C)C=C2)c3ccccc3,*C1=CC=C(N)C1=*,7,30,2.3,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
12,Adsorption_of_malachite_green_by_polyanilinenickel_ferrite_magnetic_nanocomposite_an_isotherm_and_kinetic_study,Malachite green,PANI-NiFe2O4,CN(C)c1ccc(cc1)C(=C2C=CC(=[N+](C)C)C=C2)c3ccccc3,*C1=CC=C(N)C1=*,7,60,3.34,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
13,Adsorption_of_malachite_green_by_polyanilinenickel_ferrite_magnetic_nanocomposite_an_isotherm_and_kinetic_study,Malachite green,PANI-NiFe2O4,CN(C)c1ccc(cc1)C(=C2C=CC(=[N+](C)C)C=C2)c3ccccc3,*C1=CC=C(N)C1=*,7,90,4.2,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
14,Adsorption_of_Mercury_from_Aqueous_Solution_on_Durian_Durio_zibethinus_Seed_Immobilized_Alginate,Hg(II),Durian seed immobilized Ca-alginate,[Hg+2],*C(C(C(C(=O)[O-])O)O)*,6,10,1.786,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
15,Adsorption_of_Mercury_from_Aqueous_Solution_on_Durian_Durio_zibethinus_Seed_Immobilized_Alginate,Hg(II),Durian seed immobilized Ca-alginate,[Hg+2],*C(C(C(C(=O)[O-])O)O)*,6,300,74.121,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
16,Adsorption_of_Methyl_Orange_onto_Chitosan_from_Aqueous_Solution,methyl orange,chitosan,CN(C)c1ccc(cc1)N=Nc2ccc(cc2)S(=O)(=O)[O-],*C(C(C(C(C(CO)O)O)O)O)*,4,100,30.14,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
17,Adsorption_of_Methyl_Orange_onto_Chitosan_from_Aqueous_Solution,methyl orange,chitosan,CN(C)c1ccc(cc1)N=Nc2ccc(cc2)S(=O)(=O)[O-],*C(C(C(C(C(CO)O)O)O)O)*,5,100,25.52,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
18,Adsorption_of_Methyl_Orange_onto_Chitosan_from_Aqueous_Solution,methyl orange,chitosan,CN(C)c1ccc(cc1)N=Nc2ccc(cc2)S(=O)(=O)[O-],*C(C(C(C(C(CO)O)O)O)O)*,6,100,16.58,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
19,Adsorption_of_Methyl_Orange_onto_Chitosan_from_Aqueous_Solution,methyl orange,chitosan,CN(C)c1ccc(cc1)N=Nc2ccc(cc2)S(=O)(=O)[O-],*C(C(C(C(C(CO)O)O)O)O)*,7,100,15.75,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
20,Adsorption_of_Methyl_Orange_onto_Chitosan_from_Aqueous_Solution,methyl orange,chitosan,CN(C)c1ccc(cc1)N=Nc2ccc(cc2)S(=O)(=O)[O-],*C(C(C(C(C(CO)O)O)O)O)*,8,100,14.02,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
21,Adsorption_of_Methyl_Orange_onto_Chitosan_from_Aqueous_Solution,methyl orange,chitosan,CN(C)c1ccc(cc1)N=Nc2ccc(cc2)S(=O)(=O)[O-],*C(C(C(C(C(CO)O)O)O)O)*,9,100,11.79,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
22,Adsorption_of_Methyl_Orange_onto_Chitosan_from_Aqueous_Solution,methyl orange,chitosan,CN(C)c1ccc(cc1)N=Nc2ccc(cc2)S(=O)(=O)[O-],*C(C(C(C(C(CO)O)O)O)O)*,4,15,5.53,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
23,Adsorption_of_Methyl_Orange_onto_Chitosan_from_Aqueous_Solution,methyl orange,chitosan,CN(C)c1ccc(cc1)N=Nc2ccc(cc2)S(=O)(=O)[O-],*C(C(C(C(C(CO)O)O)O)O)*,4,30,11.26,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
24,Adsorption_of_Methyl_Orange_onto_Chitosan_from_Aqueous_Solution,methyl orange,chitosan,CN(C)c1ccc(cc1)N=Nc2ccc(cc2)S(=O)(=O)[O-],*C(C(C(C(C(CO)O)O)O)O)*,4,40,15.52,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
25,Adsorption_of_Methyl_Orange_onto_Chitosan_from_Aqueous_Solution,methyl orange,chitosan,CN(C)c1ccc(cc1)N=Nc2ccc(cc2)S(=O)(=O)[O-],*C(C(C(C(C(CO)O)O)O)O)*,4,50,19.08,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
26,Adsorption_of_Methyl_Orange_onto_Chitosan_from_Aqueous_Solution,methyl orange,chitosan,CN(C)c1ccc(cc1)N=Nc2ccc(cc2)S(=O)(=O)[O-],*C(C(C(C(C(CO)O)O)O)O)*,4,70,24.29,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
27,Adsorption_of_Methyl_Orange_onto_Chitosan_from_Aqueous_Solution,methyl orange,chitosan,CN(C)c1ccc(cc1)N=Nc2ccc(cc2)S(=O)(=O)[O-],*C(C(C(C(C(CO)O)O)O)O)*,4,100,29.82,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
28,Adsorption_of_Methyl_Orange_onto_Chitosan_from_Aqueous_Solution,methyl orange,chitosan,CN(C)c1ccc(cc1)N=Nc2ccc(cc2)S(=O)(=O)[O-],*C(C(C(C(C(CO)O)O)O)O)*,4,50,18.48,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
29,Adsorption_of_Methyl_Orange_onto_Chitosan_from_Aqueous_Solution,methyl orange,chitosan,CN(C)c1ccc(cc1)N=Nc2ccc(cc2)S(=O)(=O)[O-],*C(C(C(C(C(CO)O)O)O)O)*,4,50,18.94,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
30,Adsorption_of_Methyl_Orange_onto_Chitosan_from_Aqueous_Solution,methyl orange,chitosan,CN(C)c1ccc(cc1)N=Nc2ccc(cc2)S(=O)(=O)[O-],*C(C(C(C(C(CO)O)O)O)O)*,4,50,19.4,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
31,Adsorption_of_Methyl_Orange_onto_Chitosan_from_Aqueous_Solution,methyl orange,chitosan,CN(C)c1ccc(cc1)N=Nc2ccc(cc2)S(=O)(=O)[O-],*C(C(C(C(C(CO)O)O)O)O)*,4,50,20.24,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
32,Adsorptive_Removal_of_a_Reactive_Azo_Dye_Using_Polyaniline-Intercalated_Bentonite,Reactive Red 2,polyaniline,C1=CC=C(C=C1)N=NC2=C(C3=C(C=C(C=C3C=C2S(=O)(=O)[O-])S(=O)(=O)[O-])NC4=NC(=NC(=N4,*C1=CC=C(N)C=C1*,7,250,131.4,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
33,Adsorptive_Removal_of_a_Reactive_Azo_Dye_Using_Polyaniline-Intercalated_Bentonite,Reactive Red 2,polyaniline,C1=CC=C(C=C1)N=NC2=C(C3=C(C=C(C=C3C=C2S(=O)(=O)[O-])S(=O)(=O)[O-])NC4=NC(=NC(=N4,*C1=CC=C(N)C=C1*,7,500,220.8,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
34,Analysis_of_the_Adsorption_of_Toxic_Chromium_VI_by_Untreated_and_Chitosan_Treated_Banana_and_Areca_Fiber,Cr(VI),chitosan,[Cr+6],*C(C(C(C(C(CO)O)O)O)O)*,3.0,40,34.17,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
35,Applicative_Study_Part_I_The_Excellent_Conditions_to_Remove_in_Batch_Direct_Textile_Dyes_Direct_Red_Direct_Blue_and_Direct_Yellow_from_Aqueous_Solutions_by_Adsorption_Processes_on_Low-Cost_Chitosan_Fi,Direct Yellow 86,chitosan_std,CC1=C(C=CC(=C1)NC2=NC(=NC(=N2)NCCO)NC3=CC(=C(C=C3)N=NC4=CC5=C(C=CC=C5S(=O)(=O)O),*C(C(C(C(C(CO)O)O)O)O)*,12,5e-5,0.17,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
36,Applicative_Study_Part_I_The_Excellent_Conditions_to_Remove_in_Batch_Direct_Textile_Dyes_Direct_Red_Direct_Blue_and_Direct_Yellow_from_Aqueous_Solutions_by_Adsorption_Processes_on_Low-Cost_Chitosan_Fi,Direct Yellow 86,chitosan_std,CC1=C(C=CC(=C1)NC2=NC(=NC(=N2)NCCO)NC3=CC(=C(C=C3)N=NC4=CC5=C(C=CC=C5S(=O)(=O)O),*C(C(C(C(C(CO)O)O)O)O)*,12,5e-6,0.019,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
37,Applicative_Study_Part_I_The_Excellent_Conditions_to_Remove_in_Batch_Direct_Textile_Dyes_Direct_Red_Direct_Blue_and_Direct_Yellow_from_Aqueous_Solutions_by_Adsorption_Processes_on_Low-Cost_Chitosan_Fi,Direct Blue 78,chitosan_std,C1=CC=C(C=C1)NC2=CC3=CC(=C(C(=C3C=C2)O)N=NC4=CC=C(C5=CC=CC=C54)N=NC6=C7C=C(C=CC7,*C(C(C(C(C(CO)O)O)O)O)*,12,5e-5,0.16,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
38,Applicative_Study_Part_I_The_Excellent_Conditions_to_Remove_in_Batch_Direct_Textile_Dyes_Direct_Red_Direct_Blue_and_Direct_Yellow_from_Aqueous_Solutions_by_Adsorption_Processes_on_Low-Cost_Chitosan_Fi,Direct Blue 78,chitosan_std,C1=CC=C(C=C1)NC2=CC3=CC(=C(C(=C3C=C2)O)N=NC4=CC=C(C5=CC=CC=C54)N=NC6=C7C=C(C=CC7,*C(C(C(C(C(CO)O)O)O)O)*,12,5e-6,0.019,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
39,Aqueous_Phase_Removal_of_Tartrazine,tartrazine,Glass beads coated with chitosan DD 85%,C1=CC(=CC=C1N=NC2C(=NN(C2=O)C3=CC=C(C=C3)S(=O)(=O)[O-])C(=O)[O-])S(=O)(=O)[O-].[,*C(C(C(C(C(CO)O)O)O)O)*,3,100,60.0,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
40,Aqueous_Phase_Removal_of_Tartrazine,tartrazine,PANI,C1=CC(=CC=C1N=NC2C(=NN(C2=O)C3=CC=C(C=C3)S(=O)(=O)[O-])C(=O)[O-])S(=O)(=O)[O-].[,*C1=CC=C(N)C=C1*,2.0,48.1,113.21,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
41,Bacterial_Cellulose_Aerogels_Derived_from_Pineapple_Peel_Waste_for_the_Adsorption_of_Dyes,methylene blue,bacterial cellulose aerogel,CN(C)c1ccc2c(c1)sc3cc(ccc3n2)N(C)C,*C(C(C(C(C(CO)O)O)O)O)*,6.5,10,4.1,True,,False,RDKit MolFromSmiles returned None,True,,True,,False,SKIPPED,False,SKIPPED,False,SKIPPED,False,SKIPPED,True,,False,SKIPPED,False,SMILES_VALID,RDKit MolFromSmiles returned None
42,Bacterial_Cellulose_Aerogels_Derived_from_Pineapple_Peel_Waste_for_the_Adsorption_of_Dyes,methylene blue,bacterial cellulose aerogel,CN(C)c1ccc2c(c1)sc3cc(ccc3n2)N(C)C,*C(C(C(C(C(CO)O)O)O)O)*,6.5,200,29.7,True,,False,RDKit MolFromSmiles returned None,True,,True,,False,SKIPPED,False,SKIPPED,False,SKIPPED,False,SKIPPED,True,,False,SKIPPED,False,SMILES_VALID,RDKit MolFromSmiles returned None
43,Bacterial_Cellulose_Aerogels_Derived_from_Pineapple_Peel_Waste_for_the_Adsorption_of_Dyes,methylene blue,bacterial cellulose aerogel,CN(C)c1ccc2c(c1)sc3cc(ccc3n2)N(C)C,*C(C(C(C(C(CO)O)O)O)O)*,6.5,50,14.8,True,,False,RDKit MolFromSmiles returned None,True,,True,,False,SKIPPED,False,SKIPPED,False,SKIPPED,False,SKIPPED,True,,False,SKIPPED,False,SMILES_VALID,RDKit MolFromSmiles returned None
44,Bacterial_Cellulose_Aerogels_Derived_from_Pineapple_Peel_Waste_for_the_Adsorption_of_Dyes,methylene blue,bacterial cellulose aerogel,CN(C)c1ccc2c(c1)sc3cc(ccc3n2)N(C)C,*C(C(C(C(C(CO)O)O)O)O)*,6.5,50,12.3,True,,False,RDKit MolFromSmiles returned None,True,,True,,False,SKIPPED,False,SKIPPED,False,SKIPPED,False,SKIPPED,True,,False,SKIPPED,False,SMILES_VALID,RDKit MolFromSmiles returned None
45,Bacterial_Cellulose_Aerogels_Derived_from_Pineapple_Peel_Waste_for_the_Adsorption_of_Dyes,methylene blue,bacterial cellulose aerogel,CN(C)c1ccc2c(c1)sc3cc(ccc3n2)N(C)C,*C(C(C(C(C(CO)O)O)O)O)*,6.5,50,16.0,True,,False,RDKit MolFromSmiles returned None,True,,True,,False,SKIPPED,False,SKIPPED,False,SKIPPED,False,SKIPPED,True,,False,SKIPPED,False,SMILES_VALID,RDKit MolFromSmiles returned None
46,Bacterial_Cellulose_Aerogels_Derived_from_Pineapple_Peel_Waste_for_the_Adsorption_of_Dyes,methylene blue,bacterial cellulose aerogel,CN(C)c1ccc2c(c1)sc3cc(ccc3n2)N(C)C,*C(C(C(C(C(CO)O)O)O)O)*,6.5,50,14.7,True,,False,RDKit MolFromSmiles returned None,True,,True,,False,SKIPPED,False,SKIPPED,False,SKIPPED,False,SKIPPED,True,,False,SKIPPED,False,SMILES_VALID,RDKit MolFromSmiles returned None
47,Bacterial_Cellulose_Aerogels_Derived_from_Pineapple_Peel_Waste_for_the_Adsorption_of_Dyes,rhodamine B,bacterial cellulose aerogel,CCN(CC)c1ccc2c(c1)c(c3ccccc3o2)c4ccc(cc4)C(=O)O,*C(C(C(C(C(CO)O)O)O)O)*,6.5,200,30.0,True,,False,RDKit MolFromSmiles returned None,True,,True,,False,SKIPPED,False,SKIPPED,False,SKIPPED,False,SKIPPED,True,,False,SKIPPED,False,SMILES_VALID,RDKit MolFromSmiles returned None
48,Bacterial_Cellulose_Aerogels_Derived_from_Pineapple_Peel_Waste_for_the_Adsorption_of_Dyes,crystal violet,bacterial cellulose aerogel,CN(C)c1ccc(cc1)C(=C2C=CC(=[N+](C)C)C=C2)c3ccc(cc3)N(C)C,*C(C(C(C(C(CO)O)O)O)O)*,6.5,200,30.0,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
49,Bacterial_Cellulose_Aerogels_Derived_from_Pineapple_Peel_Waste_for_the_Adsorption_of_Dyes,malachite green,bacterial cellulose aerogel,CN(C)c1ccc(cc1)C(=C2C=CC(=[N+](C)C)C=C2)c3ccccc3,*C(C(C(C(C(CO)O)O)O)O)*,6.5,200,48.6,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
50,Bacterial_Cellulose_Aerogels_Derived_from_Pineapple_Peel_Waste_for_the_Adsorption_of_Dyes,congo red,bacterial cellulose aerogel,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S,*C(C(C(C(C(CO)O)O)O)O)*,6.5,200,101.4,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
51,Bacterial_nanocellulose-based_hydrogel_from_Bacillus_subtilis_W7_for_a_sustainable_adsorption_of_tetracycline_from_wastewater,tetracycline,BNC hydrogel,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N,*C(C(C(C(CO)O)O)O)*,7,50,54.97,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
52,Bacterial_nanocellulose-based_hydrogel_from_Bacillus_subtilis_W7_for_a_sustainable_adsorption_of_tetracycline_from_wastewater,tetracycline,BNC hydrogel,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N,*C(C(C(C(CO)O)O)O)*,7,50,128.39,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
53,Biotechnological_adsorbents_for_removal_of_drugs_from_water_use_of_microorganisms_biopolymers_and_composite_materials,Tetracycline,Calcium phosphate-chitosan,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N,*C(C(C(C(C(CO)O)O)O)O)*,11.0,0-500,223.8,False,CONCENTRATION=range(0-500),True,,True,,True,,True,,True,,False,SKIPPED,False,SKIPPED,True,,True,,False,FORMAT,CONCENTRATION=range(0-500)
54,Biotechnological_adsorbents_for_removal_of_drugs_from_water_use_of_microorganisms_biopolymers_and_composite_materials,Sodium diclofenac,Polyethylenimine-grafted crosslinked chitosan spheres,C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl.[Na+],*C(C(C(C(C(CO)O)O)O)O)*,5.0,50-200,253.3,False,CONCENTRATION=range(50-200),True,,True,,True,,True,,True,,False,SKIPPED,False,SKIPPED,True,,True,,False,FORMAT,CONCENTRATION=range(50-200)
55,Capacity_and_Modeling_of_Acid_Blue_113_Dye_Adsorption_onto_Chitosan_Magnetized_by_Fe2O3_Nanoparticles,Acid Blue 113,Chitosan-Fe2O3,C1=CC=C(C=C1)NC2=C3C(=C(C=C2)N=NC4=CC=C(C5=CC=CC=C54)N=NC6=CC(=CC=C6)S(=O)(=O)[O,*C(C(C(C(C(CO)O)O)O)O)*,3,10,16.61,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
56,Capacity_and_Modeling_of_Acid_Blue_113_Dye_Adsorption_onto_Chitosan_Magnetized_by_Fe2O3_Nanoparticles,Acid Blue 113,Chitosan-Fe2O3,C1=CC=C(C=C1)NC2=C3C(=C(C=C2)N=NC4=CC=C(C5=CC=CC=C54)N=NC6=CC(=CC=C6)S(=O)(=O)[O,*C(C(C(C(C(CO)O)O)O)O)*,3,25,38.86,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
57,Capacity_and_Modeling_of_Acid_Blue_113_Dye_Adsorption_onto_Chitosan_Magnetized_by_Fe2O3_Nanoparticles,Acid Blue 113,Chitosan-Fe2O3,C1=CC=C(C=C1)NC2=C3C(=C(C=C2)N=NC4=CC=C(C5=CC=CC=C54)N=NC6=CC(=CC=C6)S(=O)(=O)[O,*C(C(C(C(C(CO)O)O)O)O)*,3,50,71.21,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
58,Capacity_and_Modeling_of_Acid_Blue_113_Dye_Adsorption_onto_Chitosan_Magnetized_by_Fe2O3_Nanoparticles,Acid Blue 113,Chitosan-Fe2O3,C1=CC=C(C=C1)NC2=C3C(=C(C=C2)N=NC4=CC=C(C5=CC=CC=C54)N=NC6=CC(=CC=C6)S(=O)(=O)[O,*C(C(C(C(C(CO)O)O)O)O)*,3,100,129.8,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
59,Carbon_Dots_Derived_from_Waste_Fish_Scale_for_Enhanced_Removal_of_Levofloxacin_Drug_Parametric_Optimization_Isotherm_and_Kinetic_Studies,Levofloxacin,Chitosan-walnut shells composite (Ch-W),C[C@H]1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,*C(C(C(C(C(CO)O)O)O)O)*,7,4,7.43,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
60,Carbon_Dots_Derived_from_Waste_Fish_Scale_for_Enhanced_Removal_of_Levofloxacin_Drug_Parametric_Optimization_Isotherm_and_Kinetic_Studies,Levofloxacin,Chitosan-walnut shells composite (Ch-W),C[C@H]1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,*C(C(C(C(C(CO)O)O)O)O)*,7,2,3.77,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
61,Cellulose_citrate_a_convenient_and_reusable_bio-adsorbent_for_effective_removal_of_methylene_blue_dye_from_artificially_contaminated_water,methylene blue,cellulose citrate,CN(C)c1ccc2c(c1)sc3cc(ccc3n2)N(C)C,*C(C(C(C(CO)O)O)O)*,6.2,10,9.57,True,,False,RDKit MolFromSmiles returned None,True,,True,,False,SKIPPED,False,SKIPPED,False,SKIPPED,False,SKIPPED,True,,False,SKIPPED,False,SMILES_VALID,RDKit MolFromSmiles returned None
62,Chitosan-Derived_Porous_Carbon_for_Efficient_Adsorptive_Removal_of_Amoxicillin_and_Doxycycline_Antibiotics_from_Aqueous_Systems,Amoxicillin,chitosan,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C,*C(C(C(C(C(CO)O)O)O)O)*,3,100,52.0,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
63,Chitosan-Derived_Porous_Carbon_for_Efficient_Adsorptive_Removal_of_Amoxicillin_and_Doxycycline_Antibiotics_from_Aqueous_Systems,Amoxicillin,chitosan,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C,*C(C(C(C(C(CO)O)O)O)O)*,7,100,59.0,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
64,Chitosan-Derived_Porous_Carbon_for_Efficient_Adsorptive_Removal_of_Amoxicillin_and_Doxycycline_Antibiotics_from_Aqueous_Systems,Amoxicillin,chitosan,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C,*C(C(C(C(C(CO)O)O)O)O)*,13,100,48.0,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
