POLYMER_USED,DRUG,POLYMER_PSMILES,DRUG_SMILES,WATER_PH,CONCENTRATION,CAPACITY,SOURCE,PAPER_DOI,CONFIDENCE,NOTES
BC aerogel,Congo red,[*]OC1OC(CO)C(O[*])C(O)C1O,Nc1ccc2cc(ccc2c1N=Nc1ccc(cc1)-c1ccc(cc1)N=Nc1c(N)ccc2cc(ccc12)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+],6.5,200.0,101.4,Fig.13,10.1021/acsomega.3c03130,high,Multi-dye comparison; text-stated (anionic but H-bonds via amine groups)
BC aerogel,Methyl orange,[*]OC1OC(CO)C(O[*])C(O)C1O,CN(C)c1ccc(cc1)N=Nc1ccc(cc1)S(=O)(=O)[O-].[Na+],6.5,200.0,0.0,Fig.13,10.1021/acsomega.3c03130,high,No measurable uptake (anionic; repulsion)
BC aerogel,Sunset yellow,[*]OC1OC(CO)C(O[*])C(O)C1O,Oc1ccc2cc(ccc2c1N=Nc1ccc(cc1)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+],6.5,200.0,0.0,Fig.13,10.1021/acsomega.3c03130,high,No measurable uptake (anionic; repulsion)
BC aerogel,Quinoline yellow,[*]OC1OC(CO)C(O[*])C(O)C1O,O=C1c2ccccc2C(=O)C1c1ccc2ccccc2n1,6.5,200.0,0.0,Fig.13,10.1021/acsomega.3c03130,high,No measurable uptake (anionic; repulsion)
Cellulose citrate,Methylene blue,[*]OC1OC(COC(=O)CC(O)(CC(=O)O)C(=O)O)C(O[*])C(O)C1O,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],6.2,10.0,9.57,Fig.5,10.1039/d1ra05464c,high,Text-stated q at 10 mg/L
Cellulose citrate,Methylene blue,[*]OC1OC(COC(=O)CC(O)(CC(=O)O)C(=O)O)C(O[*])C(O)C1O,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],6.2,20.0,18.0,Fig.5,10.1039/d1ra05464c,medium,Digitized from Fig.5A
Cellulose citrate,Methylene blue,[*]OC1OC(COC(=O)CC(O)(CC(=O)O)C(=O)O)C(O[*])C(O)C1O,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],6.2,30.0,26.86,Fig.3,10.1039/d1ra05464c,high,Text-stated; kinetics plateau at 30 mg/L
Cellulose citrate,Methylene blue,[*]OC1OC(COC(=O)CC(O)(CC(=O)O)C(=O)O)C(O[*])C(O)C1O,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],6.2,40.0,36.5,Fig.5,10.1039/d1ra05464c,medium,Digitized from Fig.5A
Cellulose citrate,Methylene blue,[*]OC1OC(COC(=O)CC(O)(CC(=O)O)C(=O)O)C(O[*])C(O)C1O,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],6.2,50.0,45.5,Fig.5,10.1039/d1ra05464c,medium,Digitized from Fig.5A
Cellulose citrate,Methylene blue,[*]OC1OC(COC(=O)CC(O)(CC(=O)O)C(=O)O)C(O[*])C(O)C1O,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],6.2,70.0,59.0,Fig.5,10.1039/d1ra05464c,medium,Digitized from Fig.5A
Cellulose citrate,Methylene blue,[*]OC1OC(COC(=O)CC(O)(CC(=O)O)C(=O)O)C(O[*])C(O)C1O,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],6.2,100.0,77.5,Fig.5,10.1039/d1ra05464c,medium,Digitized from Fig.5A
Cellulose citrate,Methylene blue,[*]OC1OC(COC(=O)CC(O)(CC(=O)O)C(=O)O)C(O[*])C(O)C1O,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],6.2,120.0,82.0,Fig.5,10.1039/d1ra05464c,medium,Digitized from Fig.5A
Cellulose citrate,Methylene blue,[*]OC1OC(COC(=O)CC(O)(CC(=O)O)C(=O)O)C(O[*])C(O)C1O,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],6.2,150.0,88.0,Fig.5,10.1039/d1ra05464c,medium,Digitized Fig.5A; text says 58% removal ~87
Cellulose citrate,Methylene blue,[*]OC1OC(COC(=O)CC(O)(CC(=O)O)C(=O)O)C(O[*])C(O)C1O,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],3.0,30.0,25.55,Fig.6,10.1039/d1ra05464c,medium,Digitized from Fig.6A; pH sweep at 30 mg/L
Cellulose citrate,Methylene blue,[*]OC1OC(COC(=O)CC(O)(CC(=O)O)C(=O)O)C(O[*])C(O)C1O,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],4.0,30.0,26.4,Fig.6,10.1039/d1ra05464c,medium,Digitized from Fig.6A; pH sweep at 30 mg/L
Cellulose citrate,Methylene blue,[*]OC1OC(COC(=O)CC(O)(CC(=O)O)C(=O)O)C(O[*])C(O)C1O,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],5.0,30.0,26.7,Fig.6,10.1039/d1ra05464c,medium,Digitized from Fig.6A; pH sweep at 30 mg/L
Cellulose citrate,Methylene blue,[*]OC1OC(COC(=O)CC(O)(CC(=O)O)C(=O)O)C(O[*])C(O)C1O,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],6.0,30.0,26.85,Fig.6,10.1039/d1ra05464c,medium,Digitized from Fig.6A; pH sweep at 30 mg/L
Cellulose citrate,Methylene blue,[*]OC1OC(COC(=O)CC(O)(CC(=O)O)C(=O)O)C(O[*])C(O)C1O,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],7.0,30.0,27.75,Fig.6,10.1039/d1ra05464c,medium,Digitized from Fig.6A; pH sweep at 30 mg/L
Cellulose citrate,Methylene blue,[*]OC1OC(COC(=O)CC(O)(CC(=O)O)C(=O)O)C(O[*])C(O)C1O,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],8.0,30.0,27.8,Fig.6,10.1039/d1ra05464c,medium,Digitized from Fig.6A; pH sweep at 30 mg/L
Cellulose citrate,Methylene blue,[*]OC1OC(COC(=O)CC(O)(CC(=O)O)C(=O)O)C(O[*])C(O)C1O,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],9.0,30.0,28.0,Fig.6,10.1039/d1ra05464c,medium,Digitized from Fig.6A; pH sweep at 30 mg/L
Cellulose citrate,Methylene blue,[*]OC1OC(COC(=O)CC(O)(CC(=O)O)C(=O)O)C(O[*])C(O)C1O,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],10.0,30.0,28.1,Fig.6,10.1039/d1ra05464c,medium,Digitized from Fig.6A; pH sweep at 30 mg/L
Coconut husk cellulose,Methylene blue,[*]OC1OC(CO)C(O[*])C(O)C1O,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],7.0,30.0,2.9034,Table.6,10.4236/msce.2024.122001,high,Experimental qe at equilibrium; pH7/120min/0.5g; matches PSO calc 2.9108
PANI,Congo red,[*]Nc1ccc(N[*])cc1,Nc1ccc2cc(ccc2c1N=Nc1ccc(cc1)-c1ccc(cc1)N=Nc1c(N)ccc2cc(ccc12)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+],6.55,20.0,250.01,Table.7,10.1039/d1ma00354b,secondhand,Review-cited (orig ref 61); Langmuir; dose 0.4 g/L
Polypyrrole,Congo red,[*]c1ccc([*])[nH]1,Nc1ccc2cc(ccc2c1N=Nc1ccc(cc1)-c1ccc(cc1)N=Nc1c(N)ccc2cc(ccc12)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+],6.55,20.0,66.66,Table.7,10.1039/d1ma00354b,secondhand,Review-cited (orig ref 61); Langmuir; dose 1.73 g/L
PANI powder,Methylene blue,[*]Nc1ccc(N[*])cc1,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],,3.9,13.854,Table.7,10.1039/d1ma00354b,secondhand,Review-cited (orig ref 273); Langmuir; crosslinked PANI
Coconut husk cellulose,Methylene blue,[*]OC1OC(CO)C(O[*])C(O)C1O,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],5.0,65.0,5.883,Table.2,10.4236/msce.2024.122001,medium,RSM design pt; q=C0*RE*0.1 (V/W=0.1)
Coconut husk cellulose,Methylene blue,[*]OC1OC(CO)C(O[*])C(O)C1O,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],5.0,124.0,11.445,Table.2,10.4236/msce.2024.122001,medium,RSM design pt; conc 124 is axial point
Coconut husk cellulose,Methylene blue,[*]OC1OC(CO)C(O[*])C(O)C1O,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],8.36,65.0,6.149,Table.2,10.4236/msce.2024.122001,medium,RSM design pt; pH axial point
Coconut husk cellulose,Methylene blue,[*]OC1OC(CO)C(O[*])C(O)C1O,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],5.0,65.0,5.883,Table.2,10.4236/msce.2024.122001,medium,RSM center point replicate
Coconut husk cellulose,Methylene blue,[*]OC1OC(CO)C(O[*])C(O)C1O,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],3.0,30.0,2.526,Table.2,10.4236/msce.2024.122001,medium,RSM design pt
Coconut husk cellulose,Methylene blue,[*]OC1OC(CO)C(O[*])C(O)C1O,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],5.0,65.0,5.889,Table.2,10.4236/msce.2024.122001,medium,RSM center point replicate
Coconut husk cellulose,Methylene blue,[*]OC1OC(CO)C(O[*])C(O)C1O,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],7.0,100.0,9.05,Table.2,10.4236/msce.2024.122001,medium,RSM design pt
Coconut husk cellulose,Methylene blue,[*]OC1OC(CO)C(O[*])C(O)C1O,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],3.0,100.0,7.59,Table.2,10.4236/msce.2024.122001,medium,RSM design pt
Coconut husk cellulose,Methylene blue,[*]OC1OC(CO)C(O[*])C(O)C1O,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],5.0,65.0,5.161,Table.2,10.4236/msce.2024.122001,medium,RSM design pt; time axial (low)
Coconut husk cellulose,Methylene blue,[*]OC1OC(CO)C(O[*])C(O)C1O,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],3.0,100.0,8.44,Table.2,10.4236/msce.2024.122001,medium,RSM design pt
Coconut husk cellulose,Methylene blue,[*]OC1OC(CO)C(O[*])C(O)C1O,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],7.0,100.0,9.65,Table.2,10.4236/msce.2024.122001,medium,RSM design pt
Coconut husk cellulose,Methylene blue,[*]OC1OC(CO)C(O[*])C(O)C1O,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],1.64,65.0,4.66,Table.2,10.4236/msce.2024.122001,medium,RSM design pt; pH axial (low)
Coconut husk cellulose,Methylene blue,[*]OC1OC(CO)C(O[*])C(O)C1O,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],7.0,30.0,2.904,Table.2,10.4236/msce.2024.122001,high,Optimum conditions; matches qe_exp 2.9034
Coconut husk cellulose,Methylene blue,[*]OC1OC(CO)C(O[*])C(O)C1O,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],5.0,65.0,5.954,Table.2,10.4236/msce.2024.122001,medium,RSM design pt; time axial (high)
Coconut husk cellulose,Methylene blue,[*]OC1OC(CO)C(O[*])C(O)C1O,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],5.0,65.0,5.941,Table.2,10.4236/msce.2024.122001,medium,RSM center point replicate
Coconut husk cellulose,Methylene blue,[*]OC1OC(CO)C(O[*])C(O)C1O,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],5.0,65.0,5.909,Table.2,10.4236/msce.2024.122001,medium,RSM center point replicate
Coconut husk cellulose,Methylene blue,[*]OC1OC(CO)C(O[*])C(O)C1O,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],5.0,65.0,5.934,Table.2,10.4236/msce.2024.122001,medium,RSM center point replicate
Coconut husk cellulose,Methylene blue,[*]OC1OC(CO)C(O[*])C(O)C1O,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],7.0,30.0,2.769,Table.2,10.4236/msce.2024.122001,medium,RSM design pt
Coconut husk cellulose,Methylene blue,[*]OC1OC(CO)C(O[*])C(O)C1O,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],3.0,30.0,2.334,Table.2,10.4236/msce.2024.122001,medium,RSM design pt
Coconut husk cellulose,Methylene blue,[*]OC1OC(CO)C(O[*])C(O)C1O,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],5.0,6.0,0.561,Table.2,10.4236/msce.2024.122001,medium,RSM design pt; conc 6 is axial (low)
