POLYMER_USED,DRUG,POLYMER_PSMILES,DRUG_SMILES,WATER_PH,CONCENTRATION,CAPACITY,SOURCE,ANALYZED_BY,PAPER
bacterial cellulose aerogel,methylene blue,*C(C(C(C(C(CO)O)O)O)O)*,CN(C)c1ccc2c(c1)sc3cc(ccc3n2)N(C)C,6.5,50,14.8,10.1021/acsomega.3c03130,deepseek-v4-flash (pdf2text),Bacterial_Cellulose_Aerogels_Derived_from_Pineapple_Peel_Waste_for_the_Adsorption_of_Dyes
bacterial cellulose aerogel,methylene blue,*C(C(C(C(C(CO)O)O)O)O)*,CN(C)c1ccc2c(c1)sc3cc(ccc3n2)N(C)C,6.5,50,12.3,10.1021/acsomega.3c03130,deepseek-v4-flash (pdf2text),Bacterial_Cellulose_Aerogels_Derived_from_Pineapple_Peel_Waste_for_the_Adsorption_of_Dyes
bacterial cellulose aerogel,methylene blue,*C(C(C(C(C(CO)O)O)O)O)*,CN(C)c1ccc2c(c1)sc3cc(ccc3n2)N(C)C,6.5,50,16,10.1021/acsomega.3c03130,deepseek-v4-flash (pdf2text),Bacterial_Cellulose_Aerogels_Derived_from_Pineapple_Peel_Waste_for_the_Adsorption_of_Dyes
bacterial cellulose aerogel,methylene blue,*C(C(C(C(C(CO)O)O)O)O)*,CN(C)c1ccc2c(c1)sc3cc(ccc3n2)N(C)C,6.5,50,14.7,10.1021/acsomega.3c03130,deepseek-v4-flash (pdf2text),Bacterial_Cellulose_Aerogels_Derived_from_Pineapple_Peel_Waste_for_the_Adsorption_of_Dyes
bacterial cellulose aerogel,rhodamine B,*C(C(C(C(C(CO)O)O)O)O)*,CCN(CC)c1ccc2c(c1)c(c3ccccc3o2)c4ccc(cc4)C(=O)O,6.5,200,30,10.1021/acsomega.3c03130,deepseek-v4-flash (pdf2text),Bacterial_Cellulose_Aerogels_Derived_from_Pineapple_Peel_Waste_for_the_Adsorption_of_Dyes
bacterial cellulose aerogel,crystal violet,*C(C(C(C(C(CO)O)O)O)O)*,CN(C)c1ccc(cc1)C(=C2C=CC(=[N+](C)C)C=C2)c3ccc(cc3)N(C)C,6.5,200,30,10.1021/acsomega.3c03130,deepseek-v4-flash (pdf2text),Bacterial_Cellulose_Aerogels_Derived_from_Pineapple_Peel_Waste_for_the_Adsorption_of_Dyes
bacterial cellulose aerogel,malachite green,*C(C(C(C(C(CO)O)O)O)O)*,CN(C)c1ccc(cc1)C(=C2C=CC(=[N+](C)C)C=C2)c3ccccc3,6.5,200,48.6,10.1021/acsomega.3c03130,deepseek-v4-flash (pdf2text),Bacterial_Cellulose_Aerogels_Derived_from_Pineapple_Peel_Waste_for_the_Adsorption_of_Dyes
bacterial cellulose aerogel,congo red,*C(C(C(C(C(CO)O)O)O)O)*,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+],6.5,200,101.4,10.1021/acsomega.3c03130,deepseek-v4-flash (pdf2text),Bacterial_Cellulose_Aerogels_Derived_from_Pineapple_Peel_Waste_for_the_Adsorption_of_Dyes
BNC hydrogel,tetracycline,*C(C(C(C(CO)O)O)O)*,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,7,50,54.97,10.1038/s41598-025-18254-w,deepseek-v4-flash (pdf2text),Bacterial_nanocellulose-based_hydrogel_from_Bacillus_subtilis_W7_for_a_sustainable_adsorption_of_tetracycline_from_wastewater
BNC hydrogel,tetracycline,*C(C(C(C(CO)O)O)O)*,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,7,50,128.39,10.1038/s41598-025-18254-w,deepseek-v4-flash (pdf2text),Bacterial_nanocellulose-based_hydrogel_from_Bacillus_subtilis_W7_for_a_sustainable_adsorption_of_tetracycline_from_wastewater
Calcium phosphate-chitosan,Tetracycline,*C(C(C(C(C(CO)O)O)O)O)*,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,11.0,0-500,223.8,Said et al. (2024),deepseek-v4-flash (pdf2text),Biotechnological_adsorbents_for_removal_of_drugs_from_water_use_of_microorganisms_biopolymers_and_composite_materials
Polyethylenimine-grafted crosslinked chitosan spheres,Sodium diclofenac,*C(C(C(C(C(CO)O)O)O)O)*,C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl.[Na+],5.0,50-200,253.3,Lu et al. (2020),deepseek-v4-flash (pdf2text),Biotechnological_adsorbents_for_removal_of_drugs_from_water_use_of_microorganisms_biopolymers_and_composite_materials
Chitosan-Fe2O3,Acid Blue 113,*C(C(C(C(C(CO)O)O)O)O)*,C1=CC=C(C=C1)NC2=C3C(=C(C=C2)N=NC4=CC=C(C5=CC=CC=C54)N=NC6=CC(=CC=C6)S(=O)(=O)[O-])C=CC=C3S(=O)(=O)[O-].[Na+].[Na+],3,10,16.61,This study,deepseek-v4-flash (pdf2text),Capacity_and_Modeling_of_Acid_Blue_113_Dye_Adsorption_onto_Chitosan_Magnetized_by_Fe2O3_Nanoparticles
Chitosan-Fe2O3,Acid Blue 113,*C(C(C(C(C(CO)O)O)O)O)*,C1=CC=C(C=C1)NC2=C3C(=C(C=C2)N=NC4=CC=C(C5=CC=CC=C54)N=NC6=CC(=CC=C6)S(=O)(=O)[O-])C=CC=C3S(=O)(=O)[O-].[Na+].[Na+],3,25,38.86,This study,deepseek-v4-flash (pdf2text),Capacity_and_Modeling_of_Acid_Blue_113_Dye_Adsorption_onto_Chitosan_Magnetized_by_Fe2O3_Nanoparticles
Chitosan-Fe2O3,Acid Blue 113,*C(C(C(C(C(CO)O)O)O)O)*,C1=CC=C(C=C1)NC2=C3C(=C(C=C2)N=NC4=CC=C(C5=CC=CC=C54)N=NC6=CC(=CC=C6)S(=O)(=O)[O-])C=CC=C3S(=O)(=O)[O-].[Na+].[Na+],3,50,71.21,This study,deepseek-v4-flash (pdf2text),Capacity_and_Modeling_of_Acid_Blue_113_Dye_Adsorption_onto_Chitosan_Magnetized_by_Fe2O3_Nanoparticles
Chitosan-Fe2O3,Acid Blue 113,*C(C(C(C(C(CO)O)O)O)O)*,C1=CC=C(C=C1)NC2=C3C(=C(C=C2)N=NC4=CC=C(C5=CC=CC=C54)N=NC6=CC(=CC=C6)S(=O)(=O)[O-])C=CC=C3S(=O)(=O)[O-].[Na+].[Na+],3,100,129.80,This study,deepseek-v4-flash (pdf2text),Capacity_and_Modeling_of_Acid_Blue_113_Dye_Adsorption_onto_Chitosan_Magnetized_by_Fe2O3_Nanoparticles
Chitosan-walnut shells composite (Ch-W),Levofloxacin,*C(C(C(C(C(CO)O)O)O)O)*,C[C@H]1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,7,4,7.43,[27],deepseek-v4-flash (pdf2text),Carbon_Dots_Derived_from_Waste_Fish_Scale_for_Enhanced_Removal_of_Levofloxacin_Drug_Parametric_Optimization_Isotherm_and_Kinetic_Studies
Chitosan-walnut shells composite (Ch-W),Levofloxacin,*C(C(C(C(C(CO)O)O)O)O)*,C[C@H]1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,7,2,3.77,[27],deepseek-v4-flash (pdf2text),Carbon_Dots_Derived_from_Waste_Fish_Scale_for_Enhanced_Removal_of_Levofloxacin_Drug_Parametric_Optimization_Isotherm_and_Kinetic_Studies
cellulose citrate,methylene blue,*C(C(C(C(CO)O)O)O)*,CN(C)c1ccc2c(c1)sc3cc(ccc3n2)N(C)C,6.2,10,9.57,RSC Adv. 2021,deepseek-v4-flash (pdf2text),Cellulose_citrate_a_convenient_and_reusable_bio-adsorbent_for_effective_removal_of_methylene_blue_dye_from_artificially_contaminated_water
chitosan,Amoxicillin,*C(C(C(C(C(CO)O)O)O)O)*,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C,3,100,52,https://doi.org/10.1007/s11270-025-08223-4,deepseek-v4-flash (pdf2text),Chitosan-Derived_Porous_Carbon_for_Efficient_Adsorptive_Removal_of_Amoxicillin_and_Doxycycline_Antibiotics_from_Aqueous_Systems
chitosan,Amoxicillin,*C(C(C(C(C(CO)O)O)O)O)*,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C,7,100,59,https://doi.org/10.1007/s11270-025-08223-4,deepseek-v4-flash (pdf2text),Chitosan-Derived_Porous_Carbon_for_Efficient_Adsorptive_Removal_of_Amoxicillin_and_Doxycycline_Antibiotics_from_Aqueous_Systems
chitosan,Amoxicillin,*C(C(C(C(C(CO)O)O)O)O)*,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C,13,100,48,https://doi.org/10.1007/s11270-025-08223-4,deepseek-v4-flash (pdf2text),Chitosan-Derived_Porous_Carbon_for_Efficient_Adsorptive_Removal_of_Amoxicillin_and_Doxycycline_Antibiotics_from_Aqueous_Systems
chitosan,Doxycycline,*C(C(C(C(C(CO)O)O)O)O)*,C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,3,100,82,https://doi.org/10.1007/s11270-025-08223-4,deepseek-v4-flash (pdf2text),Chitosan-Derived_Porous_Carbon_for_Efficient_Adsorptive_Removal_of_Amoxicillin_and_Doxycycline_Antibiotics_from_Aqueous_Systems
chitosan,Doxycycline,*C(C(C(C(C(CO)O)O)O)O)*,C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,11,100,55,https://doi.org/10.1007/s11270-025-08223-4,deepseek-v4-flash (pdf2text),Chitosan-Derived_Porous_Carbon_for_Efficient_Adsorptive_Removal_of_Amoxicillin_and_Doxycycline_Antibiotics_from_Aqueous_Systems
chitosan,Congo Red,*C(C(C(C(C(CO)O)O)O)O)*,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+],3,150,98,10.1038/s41598-024-77708-9,deepseek-v4-flash (pdf2text),Chitosan_impregnated_sugarcane_bagasse_biochar_for_removal_of_anionic_dyes_from_wastewater
PEG,Ni,*CCO*,[Ni],1.2,0.7008,3.285,Table 7,deepseek-v4-flash (pdf2text),Comparative_Adsorptive_Removal_of_Selected_Heavy_Metals_from_Battery_Wastewater_by_Purified_and_Polyethylene_Glycol_Modified_Carbon_Nanotubes
PEG,Fe,*CCO*,[Fe],1.2,19.533,92.43,Table 7,deepseek-v4-flash (pdf2text),Comparative_Adsorptive_Removal_of_Selected_Heavy_Metals_from_Battery_Wastewater_by_Purified_and_Polyethylene_Glycol_Modified_Carbon_Nanotubes
PEG,Cu,*CCO*,[Cu],1.2,1.3909,6.949,Table 7,deepseek-v4-flash (pdf2text),Comparative_Adsorptive_Removal_of_Selected_Heavy_Metals_from_Battery_Wastewater_by_Purified_and_Polyethylene_Glycol_Modified_Carbon_Nanotubes
