POLYMER_USED,DRUG,WATER_PH,CONCENTRATION,CAPACITY,SOURCE
Ca-alginate-HPMBP,Cd(II),6.0,10.0,9.30,Current Study
Ca-alginate,Cd(II),6.0,10.0,9.16,Current Study
Ca-alginate-HPMBP,Cd(II),6.0,25.0,23.25,Current Study
Ca-alginate,Cd(II),6.0,25.0,23.23,Current Study
Ca-alginate-HPMBP,Cd(II),6.0,10.0,8.78,Current Study
Ca-alginate,Cd(II),6.0,10.0,8.63,Current Study
PPy,Metronidazole,6.17,10.0,0.95,https://doi.org/10.1007/s40090-019-0190-7
poly(DVB),Brilliant Green,7.0,2.5,1.59,Present study
poly(DVB),Brilliant Green,7.0,14.3,4.63,Present study
poly(DVB),Brilliant Green,7.0,7.5,8.44,Present study
poly(DVB),Brilliant Green,7.0,7.5,2.45,Present study
poly(DVB),Brilliant Green,7.0,7.5,0.94,Present study
poly(DVB),Brilliant Green,7.0,7.5,3.13,Present study
Alginate-immobilized biomass,Congo Red,1.0,100.0,355.48,Present work
Alginate-immobilized biomass,Congo Red,2.0,100.0,380.56,Present work
Alginate-immobilized biomass,Congo Red,3.0,100.0,371.26,Present work
Alginate-immobilized biomass,Congo Red,4.0,100.0,343.15,Present work
Alginate-immobilized biomass,Congo Red,5.0,100.0,281.43,Present work
Alginate-immobilized biomass,Congo Red,6.0,100.0,233.34,Present work
Alginate-immobilized biomass,Congo Red,7.0,100.0,121.45,Present work
Alginate-immobilized biomass,Congo Red,8.0,100.0,87.12,Present work
Alginate-immobilized biomass,Congo Red,9.0,100.0,66.23,Present work
Alginate-immobilized biomass,Congo Red,10.0,100.0,30.20,Present work
Alginate-immobilized biomass,Congo Red,2.0,25.0,156.51,Present work
Alginate-immobilized biomass,Congo Red,2.0,50.0,377.56,Present work
Alginate-immobilized biomass,Congo Red,2.0,60.0,411.15,Present work
Alginate-immobilized biomass,Congo Red,2.0,80.0,465.32,Present work
Alginate-immobilized biomass,Congo Red,2.0,100.0,495.24,Present work
Alginate-immobilized biomass,Congo Red,2.0,120.0,483.36,Present work
Alginate-immobilized biomass,Congo Red,2.0,150.0,402.37,Present work
Alginate-immobilized biomass,Congo Red,2.0,180.0,282.21,Present work
Alginate-immobilized biomass,Congo Red,2.0,200.0,135.38,Present work
Alginate-immobilized biomass,Congo Red,2.0,100.0,507.74,Present work
Alginate-immobilized biomass,Congo Red,2.0,100.0,531.52,Present work
Alginate-immobilized biomass,Congo Red,2.0,100.0,548.19,Present work
Alginate-immobilized biomass,Congo Red,2.0,100.0,534.51,Present work
Alginate-immobilized biomass,Congo Red,2.0,100.0,507.84,Present work
Alginate-immobilized biomass,Congo Red,2.0,100.0,456.65,Present work
Alginate-immobilized biomass,Congo Red,2.0,100.0,348.82,Present work
Alginate-immobilized,Congo Red,2.0,100.0,548.47,Present work
Alginate-immobilized,Congo Red,2.0,100.0,541.83,Present work
Alginate-immobilized,Congo Red,2.0,100.0,536.41,Present work
g-CuO/PANI,Pb(II),2.0,25.0,96.30,https://doi.org/10.1038/s41598-024-81970-2
g-CuO/PANI,Pb(II),2.0,50.0,145.16,https://doi.org/10.1038/s41598-024-81970-2
g-CuO/PANI,Pb(II),2.0,75.0,200.05,https://doi.org/10.1038/s41598-024-81970-2
g-CuO/PANI,Pb(II),2.0,100.0,250.33,https://doi.org/10.1038/s41598-024-81970-2
g-CuO/PANI,Pb(II),2.0,125.0,295.74,https://doi.org/10.1038/s41598-024-81970-2
PANI,Methyl Orange,7.0,120.0,82.1,Khairy et al. 2022
Ti/PANI,Methyl Orange,7.0,120.0,103.1,Khairy et al. 2022
Ti(N)/PANI,Methyl Orange,7.0,120.0,101.6,Khairy et al. 2022
Ti(Cu)/PANI,Methyl Orange,7.0,120.0,102.5,Khairy et al. 2022
PVA,Congo red,1.0,75.0,18.44,10.24845/ijfac.v10.i2.117
unmodified chitosan,Ag(I),6.7,12.91,11.4,10.37190/ppmp/215663
chitosan modified with epichlorohydrin (second trial) and 1-methylimidazole,Ag(I),6.7,12.91,30.9,10.37190/ppmp/215663
chitosan modified with epichlorohydrin (second trial) and 1-methylimidazole,Ag(I),6.7,12.91,30.90,10.37190/ppmp/215663
coconut husk cellulose,methylene blue,7.0,30.0,2.9034,10.4236/msce.2024.122001
Polyethyleneimine,Cr(VI),4.0,50.0,44.33,Table 2
Polyethyleneimine,Cr(VI),4.0,80.0,49.65,Table 2
Polyethyleneimine,Cr(VI),4.0,50.22,29.53,Table 5
Polyethyleneimine,Cr(VI),4.0,50.22,27.76,Table 5
Polyethyleneimine,Cr(VI),4.0,50.22,23.01,Table 5
PET,Brilliant Green,7.0,7.5,1.89,Eldomiaty et al 2026
PET,Brilliant Green,7.0,7.5,0.81,Eldomiaty et al 2026
poly(m-aminobenzoic acid),Pt(IV),4.0,10.0,0.893,This study
poly(m-aminobenzoic acid),Pt(IV),4.0,15.0,1.157,This study
poly(m-aminobenzoic acid),Pt(IV),4.0,20.0,1.417,This study
poly(m-aminobenzoic acid),Pt(IV),4.0,30.0,1.928,This study
poly(m-aminobenzoic acid),Pt(IV),4.0,40.0,2.082,This study
chitosan-glutaraldehyde,Direct Blue 71,4.0,15.0,125.89,10.1177/0263617416688021
chitosan-glutaraldehyde,Direct Blue 71,4.0,15.0,93.50,10.1177/0263617416688021
chitosan-glutaraldehyde,Direct Blue 71,4.0,15.0,106.15,10.1177/0263617416688021
chitosan-glutaraldehyde,Direct Blue 71,4.0,15.0,102.31,10.1177/0263617416688021
chitosan-glutaraldehyde,Direct Blue 71,4.0,15.0,63.56,10.1177/0263617416688021
chitosan-glutaraldehyde,Direct Blue 71,4.0,30.0,209.81,10.1177/0263617416688021
chitosan-glutaraldehyde,Direct Blue 71,4.0,50.0,343.59,10.1177/0263617416688021
MLDH-NH2@PANI,Cr(VI),3.0,50.0,205.2,Fig. 5
PEG-4000,Pb(II),7.0,30.0,13.717,Table 5
PEG-4000,Cu(II),7.0,30.0,37.175,Table 5
PEG-4000,Cu(II),7.0,30.0,2.39,Section 3.6.2
PVA,Tetracycline,2.0,100.0,12.58,10.2478/eces-2021-0021
PVA,Tetracycline,8.0,100.0,7.8,10.2478/eces-2021-0021
PVA,Tetracycline,12.0,100.0,9.55,10.2478/eces-2021-0021
PVA,Tetracycline,3.0,100.0,8.55,10.2478/eces-2021-0021
PVA,Tetracycline,3.0,800.0,75.5,10.2478/eces-2021-0021
PPy–SD,Cr(VI),5.0,100.0,3.4,109
PPy/SH-beta/MCM-41,Hg(II),8.0,400.0,157.43,49
Chitosan (crab shells),Methylene blue,6.2,20.0,14.02,Priyanga et al. 2026
Chitosan (crab shells),Methylene blue,6.2,40.0,21.08,Priyanga et al. 2026
Chitosan (crab shells),Methylene blue,6.2,60.0,17.48,Priyanga et al. 2026
