POLYMER_USED,DRUG,POLYMER_PSMILES,DRUG_SMILES,WATER_PH,CONCENTRATION,CAPACITY,SOURCE,ANALYZED_BY,PAPER,KIMI_MATCHED
PEG,Cd,*CCO*,[Cd],1.2,0.0408,0.169,Table 7,deepseek-v4-flash (pdf2text),Comparative_Adsorptive_Removal_of_Selected_Heavy_Metals_from_Battery_Wastewater_by_Purified_and_Polyethylene_Glycol_Modified_Carbon_Nanotubes,False
Ca-alginate,Cd(II),*C(C(C(C(=O)[O-])O)O)*,[Cd+2],6,10,9.16,10.5564/mjc.v26i54.3869,deepseek-v4-flash (pdf2text),Enhanced_cadmium_II_adsorption_via_calcium_alginate_encapsulation_of_HPMBP_in_heavy_metal_remediation,False
Ca-alginate-HPMBP,Cd(II),*C(C(C(C(=O)[O-])O)O)*,[Cd+2],6,10,9.30,10.5564/mjc.v26i54.3869,deepseek-v4-flash (pdf2text),Enhanced_cadmium_II_adsorption_via_calcium_alginate_encapsulation_of_HPMBP_in_heavy_metal_remediation,False
Ca-alginate,Cd(II),*C(C(C(C(=O)[O-])O)O)*,[Cd+2],6,25,23.23,10.5564/mjc.v26i54.3869,deepseek-v4-flash (pdf2text),Enhanced_cadmium_II_adsorption_via_calcium_alginate_encapsulation_of_HPMBP_in_heavy_metal_remediation,False
Ca-alginate-HPMBP,Cd(II),*C(C(C(C(=O)[O-])O)O)*,[Cd+2],6,25,23.25,10.5564/mjc.v26i54.3869,deepseek-v4-flash (pdf2text),Enhanced_cadmium_II_adsorption_via_calcium_alginate_encapsulation_of_HPMBP_in_heavy_metal_remediation,False
Ca-alginate,Cd(II),*C(C(C(C(=O)[O-])O)O)*,[Cd+2],6,10,8.63,10.5564/mjc.v26i54.3869,deepseek-v4-flash (pdf2text),Enhanced_cadmium_II_adsorption_via_calcium_alginate_encapsulation_of_HPMBP_in_heavy_metal_remediation,False
Ca-alginate-HPMBP,Cd(II),*C(C(C(C(=O)[O-])O)O)*,[Cd+2],6,10,8.78,10.5564/mjc.v26i54.3869,deepseek-v4-flash (pdf2text),Enhanced_cadmium_II_adsorption_via_calcium_alginate_encapsulation_of_HPMBP_in_heavy_metal_remediation,False
polypyrrole,metronidazole,*c1cc[nH]c1*,CC1=NC=C(N1CCO)[N+](=O)[O-],6.17,10,0.95,10.1007/s40090-019-0190-7,deepseek-v4-flash (pdf2text),Experimental_and_DFT_studies_of_the_removal_of_pharmaceutical_metronidazole_from_water_using_polypyrrole,False
poly(DVB),Brilliant Green,*CCc1ccc(CC*)cc1,CC[N+](CC)(CC)c1ccc(cc1)C(=C2C=CC(=[N+](CC)CC)C=C2)c3ccccc3,7,2.5,1.59,10.1039/d5ra02950c,deepseek-v4-flash (pdf2text),Experimental_and_theoretical_investigations_of_divinylbenzene-based_polymer_as_an_efficient_adsorbent_for_brilliant_green_dye_removal,False
poly(DVB),Brilliant Green,*CCc1ccc(CC*)cc1,CC[N+](CC)(CC)c1ccc(cc1)C(=C2C=CC(=[N+](CC)CC)C=C2)c3ccccc3,7,14.3,4.63,10.1039/d5ra02950c,deepseek-v4-flash (pdf2text),Experimental_and_theoretical_investigations_of_divinylbenzene-based_polymer_as_an_efficient_adsorbent_for_brilliant_green_dye_removal,False
poly(DVB),Brilliant Green,*CCc1ccc(CC*)cc1,CC[N+](CC)(CC)c1ccc(cc1)C(=C2C=CC(=[N+](CC)CC)C=C2)c3ccccc3,7,7.5,8.44,10.1039/d5ra02950c,deepseek-v4-flash (pdf2text),Experimental_and_theoretical_investigations_of_divinylbenzene-based_polymer_as_an_efficient_adsorbent_for_brilliant_green_dye_removal,False
poly(DVB),Brilliant Green,*CCc1ccc(CC*)cc1,CC[N+](CC)(CC)c1ccc(cc1)C(=C2C=CC(=[N+](CC)CC)C=C2)c3ccccc3,7,7.5,2.45,10.1039/d5ra02950c,deepseek-v4-flash (pdf2text),Experimental_and_theoretical_investigations_of_divinylbenzene-based_polymer_as_an_efficient_adsorbent_for_brilliant_green_dye_removal,False
poly(DVB),Brilliant Green,*CCc1ccc(CC*)cc1,CC[N+](CC)(CC)c1ccc(cc1)C(=C2C=CC(=[N+](CC)CC)C=C2)c3ccccc3,7,7.5,0.94,10.1039/d5ra02950c,deepseek-v4-flash (pdf2text),Experimental_and_theoretical_investigations_of_divinylbenzene-based_polymer_as_an_efficient_adsorbent_for_brilliant_green_dye_removal,False
poly(DVB),Brilliant Green,*CCc1ccc(CC*)cc1,CC[N+](CC)(CC)c1ccc(cc1)C(=C2C=CC(=[N+](CC)CC)C=C2)c3ccccc3,7,7.5,3.13,10.1039/d5ra02950c,deepseek-v4-flash (pdf2text),Experimental_and_theoretical_investigations_of_divinylbenzene-based_polymer_as_an_efficient_adsorbent_for_brilliant_green_dye_removal,False
Trametes pubescens alginate-immobilized biomass,Congo Red,*C(C(C(C(=O)[O-])O)O)*,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+],1.0,100,355.48,Ann Microbiol (2015) 65:411-421,deepseek-v4-flash (pdf2text),Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens,False
Trametes pubescens alginate-immobilized biomass,Congo Red,*C(C(C(C(=O)[O-])O)O)*,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+],2.0,100,380.56,Ann Microbiol (2015) 65:411-421,deepseek-v4-flash (pdf2text),Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens,False
Trametes pubescens alginate-immobilized biomass,Congo Red,*C(C(C(C(=O)[O-])O)O)*,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+],3.0,100,371.26,Ann Microbiol (2015) 65:411-421,deepseek-v4-flash (pdf2text),Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens,False
Trametes pubescens alginate-immobilized biomass,Congo Red,*C(C(C(C(=O)[O-])O)O)*,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+],4.0,100,343.15,Ann Microbiol (2015) 65:411-421,deepseek-v4-flash (pdf2text),Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens,False
Trametes pubescens alginate-immobilized biomass,Congo Red,*C(C(C(C(=O)[O-])O)O)*,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+],5.0,100,281.43,Ann Microbiol (2015) 65:411-421,deepseek-v4-flash (pdf2text),Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens,False
Trametes pubescens alginate-immobilized biomass,Congo Red,*C(C(C(C(=O)[O-])O)O)*,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+],6.0,100,233.34,Ann Microbiol (2015) 65:411-421,deepseek-v4-flash (pdf2text),Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens,False
Trametes pubescens alginate-immobilized biomass,Congo Red,*C(C(C(C(=O)[O-])O)O)*,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+],7.0,100,121.45,Ann Microbiol (2015) 65:411-421,deepseek-v4-flash (pdf2text),Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens,False
Trametes pubescens alginate-immobilized biomass,Congo Red,*C(C(C(C(=O)[O-])O)O)*,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+],8.0,100,87.12,Ann Microbiol (2015) 65:411-421,deepseek-v4-flash (pdf2text),Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens,False
Trametes pubescens alginate-immobilized biomass,Congo Red,*C(C(C(C(=O)[O-])O)O)*,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+],9.0,100,66.23,Ann Microbiol (2015) 65:411-421,deepseek-v4-flash (pdf2text),Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens,False
Trametes pubescens alginate-immobilized biomass,Congo Red,*C(C(C(C(=O)[O-])O)O)*,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+],10.0,100,30.20,Ann Microbiol (2015) 65:411-421,deepseek-v4-flash (pdf2text),Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens,False
Trametes pubescens alginate-immobilized biomass,Congo Red,*C(C(C(C(=O)[O-])O)O)*,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+],2.0,25,156.51,Ann Microbiol (2015) 65:411-421,deepseek-v4-flash (pdf2text),Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens,False
Trametes pubescens alginate-immobilized biomass,Congo Red,*C(C(C(C(=O)[O-])O)O)*,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+],2.0,50,377.56,Ann Microbiol (2015) 65:411-421,deepseek-v4-flash (pdf2text),Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens,False
Trametes pubescens alginate-immobilized biomass,Congo Red,*C(C(C(C(=O)[O-])O)O)*,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+],2.0,60,411.15,Ann Microbiol (2015) 65:411-421,deepseek-v4-flash (pdf2text),Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens,False
Trametes pubescens alginate-immobilized biomass,Congo Red,*C(C(C(C(=O)[O-])O)O)*,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+],2.0,80,465.32,Ann Microbiol (2015) 65:411-421,deepseek-v4-flash (pdf2text),Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens,False
Trametes pubescens alginate-immobilized biomass,Congo Red,*C(C(C(C(=O)[O-])O)O)*,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+],2.0,100,495.24,Ann Microbiol (2015) 65:411-421,deepseek-v4-flash (pdf2text),Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens,False
Trametes pubescens alginate-immobilized biomass,Congo Red,*C(C(C(C(=O)[O-])O)O)*,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+],2.0,120,483.36,Ann Microbiol (2015) 65:411-421,deepseek-v4-flash (pdf2text),Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens,False
Trametes pubescens alginate-immobilized biomass,Congo Red,*C(C(C(C(=O)[O-])O)O)*,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+],2.0,150,402.37,Ann Microbiol (2015) 65:411-421,deepseek-v4-flash (pdf2text),Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens,False
Trametes pubescens alginate-immobilized biomass,Congo Red,*C(C(C(C(=O)[O-])O)O)*,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+],2.0,180,282.21,Ann Microbiol (2015) 65:411-421,deepseek-v4-flash (pdf2text),Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens,False
Trametes pubescens alginate-immobilized biomass,Congo Red,*C(C(C(C(=O)[O-])O)O)*,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+],2.0,200,135.38,Ann Microbiol (2015) 65:411-421,deepseek-v4-flash (pdf2text),Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens,False
Trametes pubescens alginate-immobilized biomass,Congo Red,*C(C(C(C(=O)[O-])O)O)*,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+],2.0,100,507.74,Ann Microbiol (2015) 65:411-421,deepseek-v4-flash (pdf2text),Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens,False
Trametes pubescens alginate-immobilized biomass,Congo Red,*C(C(C(C(=O)[O-])O)O)*,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+],2.0,100,531.52,Ann Microbiol (2015) 65:411-421,deepseek-v4-flash (pdf2text),Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens,False
Trametes pubescens alginate-immobilized biomass,Congo Red,*C(C(C(C(=O)[O-])O)O)*,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+],2.0,100,548.19,Ann Microbiol (2015) 65:411-421,deepseek-v4-flash (pdf2text),Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens,False
Trametes pubescens alginate-immobilized biomass,Congo Red,*C(C(C(C(=O)[O-])O)O)*,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+],2.0,100,534.51,Ann Microbiol (2015) 65:411-421,deepseek-v4-flash (pdf2text),Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens,False
Trametes pubescens alginate-immobilized biomass,Congo Red,*C(C(C(C(=O)[O-])O)O)*,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+],2.0,100,507.84,Ann Microbiol (2015) 65:411-421,deepseek-v4-flash (pdf2text),Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens,False
Trametes pubescens alginate-immobilized biomass,Congo Red,*C(C(C(C(=O)[O-])O)O)*,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+],2.0,100,456.65,Ann Microbiol (2015) 65:411-421,deepseek-v4-flash (pdf2text),Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens,False
Trametes pubescens alginate-immobilized biomass,Congo Red,*C(C(C(C(=O)[O-])O)O)*,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+],2.0,100,348.82,Ann Microbiol (2015) 65:411-421,deepseek-v4-flash (pdf2text),Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens,False
CuO/PANI,Pb(II),*C1=CC=C(N)C=C1*,[Pb+2],2,25,90.86,https://doi.org/10.1038/s41598-024-81970-2,deepseek-v4-flash (pdf2text),Green_synthesis_and_characterization_of_CuOPANI_nanocomposite_for_efficient_Pb_II_adsorption_from_contaminated_water,False
CuO/PANI,Pb(II),*C1=CC=C(N)C=C1*,[Pb+2],2,100,256.39,https://doi.org/10.1038/s41598-024-81970-2,deepseek-v4-flash (pdf2text),Green_synthesis_and_characterization_of_CuOPANI_nanocomposite_for_efficient_Pb_II_adsorption_from_contaminated_water,False
CuO/PANI,Pb(II),*C1=CC=C(N)C=C1*,[Pb+2],2,125,322.844,https://doi.org/10.1038/s41598-024-81970-2,deepseek-v4-flash (pdf2text),Green_synthesis_and_characterization_of_CuOPANI_nanocomposite_for_efficient_Pb_II_adsorption_from_contaminated_water,False
PANI,methyl orange,*C1=CC=C(N)C=C1*,CN(C)c1ccc(cc1)N=Nc2ccc(cc2)S(=O)(=O)[O-],7,120,82.1,https://doi.org/10.33263/BRIAC121.893909,deepseek-v4-flash (pdf2text),High_Removal_Efficiency_of_Methyl_Orange_Dye_by_Pure_and_Cu_N_Doped_TiO2Polyaniline_Nanocomposites,False
Ti/PANI,methyl orange,*C1=CC=C(N)C=C1*,CN(C)c1ccc(cc1)N=Nc2ccc(cc2)S(=O)(=O)[O-],7,120,103.1,https://doi.org/10.33263/BRIAC121.893909,deepseek-v4-flash (pdf2text),High_Removal_Efficiency_of_Methyl_Orange_Dye_by_Pure_and_Cu_N_Doped_TiO2Polyaniline_Nanocomposites,False
Ti(N)/PANI,methyl orange,*C1=CC=C(N)C=C1*,CN(C)c1ccc(cc1)N=Nc2ccc(cc2)S(=O)(=O)[O-],7,120,101.6,https://doi.org/10.33263/BRIAC121.893909,deepseek-v4-flash (pdf2text),High_Removal_Efficiency_of_Methyl_Orange_Dye_by_Pure_and_Cu_N_Doped_TiO2Polyaniline_Nanocomposites,False
Ti(Cu)/PANI,methyl orange,*C1=CC=C(N)C=C1*,CN(C)c1ccc(cc1)N=Nc2ccc(cc2)S(=O)(=O)[O-],7,120,102.5,https://doi.org/10.33263/BRIAC121.893909,deepseek-v4-flash (pdf2text),High_Removal_Efficiency_of_Methyl_Orange_Dye_by_Pure_and_Cu_N_Doped_TiO2Polyaniline_Nanocomposites,False
PVA,Congo red,*CC(O)*,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+],1,75,18.44,10.24845/ijfac.v10.i2.117,deepseek-v4-flash (pdf2text),Modification_of_SiO2_from_Rice_Husk_with_Polyvinyl_Alcohol_PVA_as_Adsorbent_of_Congo_Red_Dye,False
chitosan modified with epichlorohydrin (second trial) and 1-methylimidazole (biopolymer IV),Ag(I),*C(C(C(C(C(CO)O)O)O)O)*,[Ag+],6.70,12.91,30.9,Table 2,deepseek-v4-flash (pdf2text),Modified_chitosan_as_a_potential_bioresin_for_AgI_recovery,False
unmodified chitosan crosslinked with glutaraldehyde (biopolymer I),Ag(I),*C(C(C(C(C(CO)O)O)O)O)*,[Ag+],6.70,12.91,11.4,Table 2,deepseek-v4-flash (pdf2text),Modified_chitosan_as_a_potential_bioresin_for_AgI_recovery,False
coconut husk cellulose,methylene blue,*C(C(C(C(CO)O)O)O)*,CN(C)c1ccc2c(c1)sc3cc(ccc3n2)N(C)C,7,30,2.9034,10.4236/msce.2024.122001,deepseek-v4-flash (pdf2text),Optimization_of_Methylene_Blue_Dye_Adsorption_onto_Coconut_Husk_Cellulose_Using_Response_Surface_Methodology_Adsorption_Kinetics_Isotherms_and_Reusability_Studies,False
polyethyleneimine,Cr(VI),*CCN*,[Cr+6],4,50,44.33,10.15244/pjoes/188595,deepseek-v4-flash (pdf2text),Polyethyleneimine-Modified_Garden_WasteBiochar_Preparation_and_Its_Applicationfor_Aqueous_CrⅥ_Adsorption,False
polyethyleneimine,Cr(VI),*CCN*,[Cr+6],4,80,49.65,10.15244/pjoes/188595,deepseek-v4-flash (pdf2text),Polyethyleneimine-Modified_Garden_WasteBiochar_Preparation_and_Its_Applicationfor_Aqueous_CrⅥ_Adsorption,False
polyethyleneimine,Cr(VI),*CCN*,[Cr+6],4,50.22,29.53,10.15244/pjoes/188595,deepseek-v4-flash (pdf2text),Polyethyleneimine-Modified_Garden_WasteBiochar_Preparation_and_Its_Applicationfor_Aqueous_CrⅥ_Adsorption,False
polyethyleneimine,Cr(VI),*CCN*,[Cr+6],4,50.22,27.76,10.15244/pjoes/188595,deepseek-v4-flash (pdf2text),Polyethyleneimine-Modified_Garden_WasteBiochar_Preparation_and_Its_Applicationfor_Aqueous_CrⅥ_Adsorption,False
polyethyleneimine,Cr(VI),*CCN*,[Cr+6],4,50.22,23.01,10.15244/pjoes/188595,deepseek-v4-flash (pdf2text),Polyethyleneimine-Modified_Garden_WasteBiochar_Preparation_and_Its_Applicationfor_Aqueous_CrⅥ_Adsorption,False
PET,Brilliant Green,*CCOC(=O)c1ccc(cc1)C(=O)*,CC[N+](CC)(CC)c1ccc(cc1)C(=C2C=CC(=[N+](CC)CC)C=C2)c3ccccc3,7,7.5,1.89,RSC Adv.,deepseek-v4-flash (pdf2text),Repurposing_waste_plastic_into_a_sustainable_adsorbent_for_removing_synthetic_dye_experimental_optimization_and_theoretical_modeling,False
