POLYMER_USED,DRUG,POLYMER_PSMILES,DRUG_SMILES,WATER_PH,CONCENTRATION,CAPACITY,SOURCE,ANALYZED_BY,PAPER
Bacterial nanocellulose-based hydrogel,Tetracycline,*C(C(C(C(CO)O)O)O)*,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,7,50,54.97,Bacillus subtilis W7,kimi-k2.6 (pdf2text),Bacterial_nanocellulose-based_hydrogel_from_Bacillus_subtilis_W7_for_a_sustainable_adsorption_of_tetracycline_from_wastewater
Bacterial nanocellulose-based hydrogel,Tetracycline,*C(C(C(C(CO)O)O)O)*,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,7,50,128.39,Bacillus subtilis W7,kimi-k2.6 (pdf2text),Bacterial_nanocellulose-based_hydrogel_from_Bacillus_subtilis_W7_for_a_sustainable_adsorption_of_tetracycline_from_wastewater
Bacterial nanocellulose-based hydrogel,Tetracycline,*C(C(C(C(CO)O)O)O)*,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,7,50,75.24,Bacillus subtilis W7,kimi-k2.6 (pdf2text),Bacterial_nanocellulose-based_hydrogel_from_Bacillus_subtilis_W7_for_a_sustainable_adsorption_of_tetracycline_from_wastewater
Calcium phosphate-chitosan,Tetracycline,*C(C(C(C(C(CO)O)O)O)O)*,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,11.0,25,0–500,223.8,kimi-k2.6 (pdf2text),Biotechnological_adsorbents_for_removal_of_drugs_from_water_use_of_microorganisms_biopolymers_and_composite_materials
Polyethylenimine-grafted crosslinked chitosan spheres,Sodium diclofenac,*C(C(C(C(C(CO)O)O)O)O)*,C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl.[Na+],5.0,35,50–200,253.3,kimi-k2.6 (pdf2text),Biotechnological_adsorbents_for_removal_of_drugs_from_water_use_of_microorganisms_biopolymers_and_composite_materials
cellulose citrate,methylene blue,*C(C(C(C(CO)O)O)O)*,CN(C)c1ccc2c(c1)sc3cc(ccc3n2)N(C)C,6.2,10,9.57,10.1039/d1ra05464c,kimi-k2.6 (pdf2text),Cellulose_citrate_a_convenient_and_reusable_bio-adsorbent_for_effective_removal_of_methylene_blue_dye_from_artificially_contaminated_water
cellulose citrate,methylene blue,*C(C(C(C(CO)O)O)O)*,CN(C)c1ccc2c(c1)sc3cc(ccc3n2)N(C)C,6.2,30,26.86,10.1039/d1ra05464c,kimi-k2.6 (pdf2text),Cellulose_citrate_a_convenient_and_reusable_bio-adsorbent_for_effective_removal_of_methylene_blue_dye_from_artificially_contaminated_water
cellulose citrate,methylene blue,*C(C(C(C(CO)O)O)O)*,CN(C)c1ccc2c(c1)sc3cc(ccc3n2)N(C)C,6.2,30,27.25,10.1039/d1ra05464c,kimi-k2.6 (pdf2text),Cellulose_citrate_a_convenient_and_reusable_bio-adsorbent_for_effective_removal_of_methylene_blue_dye_from_artificially_contaminated_water
Polyethylene glycol,Ni,*CCO*,[Ni],1.2,0.7008,3.285,https://doi.org/10.21203/rs.3.rs-374698/v1,kimi-k2.6 (pdf2text),Comparative_Adsorptive_Removal_of_Selected_Heavy_Metals_from_Battery_Wastewater_by_Purified_and_Polyethylene_Glycol_Modified_Carbon_Nanotubes
Polyethylene glycol,Fe,*CCO*,[Fe],1.2,19.533,92.43,https://doi.org/10.21203/rs.3.rs-374698/v1,kimi-k2.6 (pdf2text),Comparative_Adsorptive_Removal_of_Selected_Heavy_Metals_from_Battery_Wastewater_by_Purified_and_Polyethylene_Glycol_Modified_Carbon_Nanotubes
Polyethylene glycol,Cu,*CCO*,[Cu],1.2,1.3909,6.949,https://doi.org/10.21203/rs.3.rs-374698/v1,kimi-k2.6 (pdf2text),Comparative_Adsorptive_Removal_of_Selected_Heavy_Metals_from_Battery_Wastewater_by_Purified_and_Polyethylene_Glycol_Modified_Carbon_Nanotubes
Polyethylene glycol,Pb,*CCO*,[Pb],1.2,2.3508,10.73,https://doi.org/10.21203/rs.3.rs-374698/v1,kimi-k2.6 (pdf2text),Comparative_Adsorptive_Removal_of_Selected_Heavy_Metals_from_Battery_Wastewater_by_Purified_and_Polyethylene_Glycol_Modified_Carbon_Nanotubes
Polyethylene glycol,Cd,*CCO*,[Cd],1.2,0.0408,0.169,https://doi.org/10.21203/rs.3.rs-374698/v1,kimi-k2.6 (pdf2text),Comparative_Adsorptive_Removal_of_Selected_Heavy_Metals_from_Battery_Wastewater_by_Purified_and_Polyethylene_Glycol_Modified_Carbon_Nanotubes
Ca-alginate-HPMBP,Cd(II),*C(C(C(C(=O)[O-])O)O)*,[Cd+2],6,10,9.30,Current Study,kimi-k2.6 (pdf2text),Enhanced_cadmium_II_adsorption_via_calcium_alginate_encapsulation_of_HPMBP_in_heavy_metal_remediation
Ca-alginate,Cd(II),*C(C(C(C(=O)[O-])O)O)*,[Cd+2],6,10,9.16,Current Study,kimi-k2.6 (pdf2text),Enhanced_cadmium_II_adsorption_via_calcium_alginate_encapsulation_of_HPMBP_in_heavy_metal_remediation
Ca-alginate-HPMBP,Cd(II),*C(C(C(C(=O)[O-])O)O)*,[Cd+2],6,25,23.25,Current Study,kimi-k2.6 (pdf2text),Enhanced_cadmium_II_adsorption_via_calcium_alginate_encapsulation_of_HPMBP_in_heavy_metal_remediation
Ca-alginate,Cd(II),*C(C(C(C(=O)[O-])O)O)*,[Cd+2],6,25,23.23,Current Study,kimi-k2.6 (pdf2text),Enhanced_cadmium_II_adsorption_via_calcium_alginate_encapsulation_of_HPMBP_in_heavy_metal_remediation
Ca-alginate-HPMBP,Cd(II),*C(C(C(C(=O)[O-])O)O)*,[Cd+2],6,10,8.78,Current Study,kimi-k2.6 (pdf2text),Enhanced_cadmium_II_adsorption_via_calcium_alginate_encapsulation_of_HPMBP_in_heavy_metal_remediation
Ca-alginate,Cd(II),*C(C(C(C(=O)[O-])O)O)*,[Cd+2],6,10,8.63,Current Study,kimi-k2.6 (pdf2text),Enhanced_cadmium_II_adsorption_via_calcium_alginate_encapsulation_of_HPMBP_in_heavy_metal_remediation
PPy,Metronidazole,*c1cc[nH]c1*,CC1=NC=C(N1CCO)[N+](=O)[O-],6.17,10,0.95,https://doi.org/10.1007/s40090-019-0190-7,kimi-k2.6 (pdf2text),Experimental_and_DFT_studies_of_the_removal_of_pharmaceutical_metronidazole_from_water_using_polypyrrole
poly(DVB),Brilliant Green,*CCc1ccc(CC*)cc1,CC[N+](CC)(CC)c1ccc(cc1)C(=C2C=CC(=[N+](CC)CC)C=C2)c3ccccc3,7,2.5,1.59,Present study,kimi-k2.6 (pdf2text),Experimental_and_theoretical_investigations_of_divinylbenzene-based_polymer_as_an_efficient_adsorbent_for_brilliant_green_dye_removal
poly(DVB),Brilliant Green,*CCc1ccc(CC*)cc1,CC[N+](CC)(CC)c1ccc(cc1)C(=C2C=CC(=[N+](CC)CC)C=C2)c3ccccc3,7,14.3,4.63,Present study,kimi-k2.6 (pdf2text),Experimental_and_theoretical_investigations_of_divinylbenzene-based_polymer_as_an_efficient_adsorbent_for_brilliant_green_dye_removal
poly(DVB),Brilliant Green,*CCc1ccc(CC*)cc1,CC[N+](CC)(CC)c1ccc(cc1)C(=C2C=CC(=[N+](CC)CC)C=C2)c3ccccc3,7,7.5,8.44,Present study,kimi-k2.6 (pdf2text),Experimental_and_theoretical_investigations_of_divinylbenzene-based_polymer_as_an_efficient_adsorbent_for_brilliant_green_dye_removal
poly(DVB),Brilliant Green,*CCc1ccc(CC*)cc1,CC[N+](CC)(CC)c1ccc(cc1)C(=C2C=CC(=[N+](CC)CC)C=C2)c3ccccc3,7,7.5,2.45,Present study,kimi-k2.6 (pdf2text),Experimental_and_theoretical_investigations_of_divinylbenzene-based_polymer_as_an_efficient_adsorbent_for_brilliant_green_dye_removal
poly(DVB),Brilliant Green,*CCc1ccc(CC*)cc1,CC[N+](CC)(CC)c1ccc(cc1)C(=C2C=CC(=[N+](CC)CC)C=C2)c3ccccc3,7,7.5,0.94,Present study,kimi-k2.6 (pdf2text),Experimental_and_theoretical_investigations_of_divinylbenzene-based_polymer_as_an_efficient_adsorbent_for_brilliant_green_dye_removal
poly(DVB),Brilliant Green,*CCc1ccc(CC*)cc1,CC[N+](CC)(CC)c1ccc(cc1)C(=C2C=CC(=[N+](CC)CC)C=C2)c3ccccc3,7,7.5,3.13,Present study,kimi-k2.6 (pdf2text),Experimental_and_theoretical_investigations_of_divinylbenzene-based_polymer_as_an_efficient_adsorbent_for_brilliant_green_dye_removal
Alginate-immobilized biomass,Congo Red,*C(C(C(C(=O)[O-])O)O)*,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+],1.0,100,355.48,Present work,kimi-k2.6 (pdf2text),Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens
Alginate-immobilized biomass,Congo Red,*C(C(C(C(=O)[O-])O)O)*,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+],2.0,100,380.56,Present work,kimi-k2.6 (pdf2text),Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens
Alginate-immobilized biomass,Congo Red,*C(C(C(C(=O)[O-])O)O)*,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+],3.0,100,371.26,Present work,kimi-k2.6 (pdf2text),Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens
Alginate-immobilized biomass,Congo Red,*C(C(C(C(=O)[O-])O)O)*,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+],4.0,100,343.15,Present work,kimi-k2.6 (pdf2text),Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens
Alginate-immobilized biomass,Congo Red,*C(C(C(C(=O)[O-])O)O)*,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+],5.0,100,281.43,Present work,kimi-k2.6 (pdf2text),Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens
Alginate-immobilized biomass,Congo Red,*C(C(C(C(=O)[O-])O)O)*,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+],6.0,100,233.34,Present work,kimi-k2.6 (pdf2text),Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens
Alginate-immobilized biomass,Congo Red,*C(C(C(C(=O)[O-])O)O)*,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+],7.0,100,121.45,Present work,kimi-k2.6 (pdf2text),Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens
Alginate-immobilized biomass,Congo Red,*C(C(C(C(=O)[O-])O)O)*,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+],8.0,100,87.12,Present work,kimi-k2.6 (pdf2text),Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens
Alginate-immobilized biomass,Congo Red,*C(C(C(C(=O)[O-])O)O)*,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+],9.0,100,66.23,Present work,kimi-k2.6 (pdf2text),Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens
Alginate-immobilized biomass,Congo Red,*C(C(C(C(=O)[O-])O)O)*,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+],10.0,100,30.20,Present work,kimi-k2.6 (pdf2text),Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens
Alginate-immobilized biomass,Congo Red,*C(C(C(C(=O)[O-])O)O)*,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+],2.0,25,156.51,Present work,kimi-k2.6 (pdf2text),Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens
Alginate-immobilized biomass,Congo Red,*C(C(C(C(=O)[O-])O)O)*,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+],2.0,50,377.56,Present work,kimi-k2.6 (pdf2text),Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens
Alginate-immobilized biomass,Congo Red,*C(C(C(C(=O)[O-])O)O)*,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+],2.0,60,411.15,Present work,kimi-k2.6 (pdf2text),Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens
Alginate-immobilized biomass,Congo Red,*C(C(C(C(=O)[O-])O)O)*,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+],2.0,80,465.32,Present work,kimi-k2.6 (pdf2text),Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens
Alginate-immobilized biomass,Congo Red,*C(C(C(C(=O)[O-])O)O)*,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+],2.0,100,495.24,Present work,kimi-k2.6 (pdf2text),Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens
Alginate-immobilized biomass,Congo Red,*C(C(C(C(=O)[O-])O)O)*,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+],2.0,120,483.36,Present work,kimi-k2.6 (pdf2text),Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens
Alginate-immobilized biomass,Congo Red,*C(C(C(C(=O)[O-])O)O)*,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+],2.0,150,402.37,Present work,kimi-k2.6 (pdf2text),Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens
Alginate-immobilized biomass,Congo Red,*C(C(C(C(=O)[O-])O)O)*,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+],2.0,180,282.21,Present work,kimi-k2.6 (pdf2text),Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens
Alginate-immobilized biomass,Congo Red,*C(C(C(C(=O)[O-])O)O)*,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+],2.0,200,135.38,Present work,kimi-k2.6 (pdf2text),Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens
Alginate-immobilized biomass,Congo Red,*C(C(C(C(=O)[O-])O)O)*,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+],2.0,100,507.74,Present work,kimi-k2.6 (pdf2text),Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens
Alginate-immobilized biomass,Congo Red,*C(C(C(C(=O)[O-])O)O)*,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+],2.0,100,531.52,Present work,kimi-k2.6 (pdf2text),Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens
Alginate-immobilized biomass,Congo Red,*C(C(C(C(=O)[O-])O)O)*,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+],2.0,100,548.19,Present work,kimi-k2.6 (pdf2text),Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens
Alginate-immobilized biomass,Congo Red,*C(C(C(C(=O)[O-])O)O)*,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+],2.0,100,534.51,Present work,kimi-k2.6 (pdf2text),Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens
