POLYMER_USED,DRUG,WATER_PH,CONCENTRATION,CAPACITY,SOURCE,POLYMER_PSMILES,DRUG_SMILES
Chitosan / Ammi visnaga,Brilliant Green,4,25,96,10.1515/eces-2018-0017,,
Chitosan,Brilliant Green,4,NaN,50,10.1515/eces-2018-0017,,
"""Cellulose","Collagen & Lignin""",E2,3.94 - 7.29,10 - 300,0.5 - 10.1,,
Chitosan-calcium alginate beads,phenol,NaN,NaN,108.69,Nadavala et al. 2009,,
Chitosan-calcium alginate beads,o-chlorophenol,NaN,NaN,97.08,Nadavala et al. 2009,,
Chitosan (CS),phenol,NaN,NaN,2,Li et al. 2009,,
Molybdate-impregnated chitosan beads (MICB),diheptyl phthalate,NaN,NaN,3.01,Chen and Chung 2007,,
Chitosan flakes,crude oil,NaN,NaN,0.379,Barros et al. 2014,,
Chitosan solution,crude oil,NaN,NaN,0.013,Barros et al. 2014,,
Chitosan,oil,NaN,NaN,17.96,Ummadisingu and Gupta 2012,,
Superhydrophobic/superoleophilic chitosan sponge,oil,NaN,NaN,60,Su et al. 2017,,
Magnetic carboxylated cellulose nanocrystals (M-CCNs),ofloxacin,7,50-900,58.48,[133],,CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O
CS-sodium alginate composite,Acid Black-172,NaN,NaN,817,[97],,
CS-sodium alginate composite,methylene blue,NaN,NaN,1488.1,[97],,
PAA/alginate,Methylene blue,NaN,NaN,120,[103],,
CS-/electrospun sodium alginate composite,Acid blue-113,NaN,NaN,926,[103],,
CS-/electrospun sodium alginate composite,Rhodamine B,NaN,NaN,695,[103],,
biopolymer composite comprised of chitosan/ polyethylene amine/ polyethylene glycol and diglycidyl ether,Congo red,NaN,NaN,2901,[42],,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
biopolymer composite comprised of chitosan/ polyethylene amine/ polyethylene glycol and diglycidyl ether,Acid-25,NaN,NaN,3434,[42],,
biopolymer composite comprised of chitosan/ polyethylene amine/ polyethylene glycol and diglycidyl ether,Amino black-10B,NaN,NaN,1438,[42],,
Sugarcane bagasse-based polyaminocarboxylated hydrochar,methylene blue,5,NaN,1060.5,[87],,
starch-HNT composite,methylene blue,NaN,NaN,604,10.1039/d2va00274d,,
starch-HNT composite,methylene blue,4.5,NaN,470,10.1039/d2va00274d,,
starch-HNT composite,methylene blue,5.5,NaN,604,10.1039/d2va00274d,,
starch-HNT composite,methylene blue,6.5,NaN,534,10.1039/d2va00274d,,
starch-HNT composite,methylene blue,NaN,25,8.2,10.1039/d2va00274d,,
starch-HNT composite,methylene blue,NaN,50,16.4,10.1039/d2va00274d,,
starch-HNT composite,methylene blue,NaN,75,24.6,10.1039/d2va00274d,,
hydrogel-II,Pb(II),6,5,24.5,Wang et al.,,[Pb+2]
hydrogel-II,Pb(II),6,10,15.7,Wang et al.,,[Pb+2]
hydrogel-II,Pb(II),6,20,60.5,Wang et al.,,[Pb+2]
activated lignin-chitosan extruded blend (ALiCE),methylene blue,7,10.15,4.601,"""Albadarin et al. (2016) Chem. Eng. J. 307",,
activated lignin-chitosan extruded blend (ALiCE),methylene blue,7,19.37,8.137,"""Albadarin et al. (2016) Chem. Eng. J. 307",,
activated lignin-chitosan extruded blend (ALiCE),methylene blue,7,33.77,14.08,"""Albadarin et al. (2016) Chem. Eng. J. 307",,
activated lignin-chitosan extruded blend (ALiCE),methylene blue,7,40.02,16.13,"""Albadarin et al. (2016) Chem. Eng. J. 307",,
activated lignin-chitosan extruded blend (ALiCE),methylene blue,7,59.37,22.98,"""Albadarin et al. (2016) Chem. Eng. J. 307",,
activated lignin-chitosan extruded blend (ALiCE),methylene blue,7,82.01,27.90,"""Albadarin et al. (2016) Chem. Eng. J. 307",,
UiO-66/GT@PVA-SA,Reactive Black 5,NaN,NaN,0.491,maximum adsorption capacity of biocomposite for RB5 dye in this study was found to be 0.491 mg g-1,,
UiO-66/GT@PVA-SA,Reactive Black 5,NaN,50,0.077,"""Table 4 ... Qe",,
potassium carrageenan,methylene blue,6.5,100,89.7,10.1007/s13369-022-07075-y,,
potassium carrageenan,methylene blue,,,168.10,10.1007/s13369-022-07075-y,,
chitosan,CHCl3,6.8,50,51,Fig.4,,
chitosan,Direct Orange 2GL,5.50,50,24.955,10.1590/S1517-707620200004.1143,,
chitosan,Direct Orange 2GL,6.50,50,24.615,10.1590/S1517-707620200004.1143,,
cellulose dinitrobenzoate,creatinine,7,225,3.88,Dai et al. 2015,,
cellulose dinitrobenzoate,creatinine,7,100,1.246,Dai et al. 2015,,
Cross-linked porous polyimide,Acid orange 10,3,500,599,SN Applied Sciences (2019) 1:239,,
Cross-linked porous polyimide,Acid orange 10,3,200,377,SN Applied Sciences (2019) 1:239,,
Cross-linked porous polyimide,Acid orange 10,7,200,26,SN Applied Sciences (2019) 1:239,,
Cross-linked porous polyimide,Acid orange 10,3,NaN,833.33,SN Applied Sciences (2019) 1:239,,
Cross-linked porous polyimide,Acid orange 10,7,NaN,29.4724,SN Applied Sciences (2019) 1:239,,
PVA/CMC/GEL/ZSM-5,Rhodamine B,10,10,4.85,10.21203/rs.3.rs-1191111/v1,,
CS-PAN,Acid Red,3.0,200,5.0e-5,Table 4,,
CS-PAN,Acid Orange,3.0,200,7.6e-5,Table 4,,
CS-PAN,Acid Red,3.0,NaN,7.0e-5,Table 5,,
CS-PAN,Acid Orange,3.0,NaN,9.8e-5,Table 5,,
SDS-chitosan,Cr(III),4,NaN,3.42,Journal of Environmental Protection,,
SDS-chitosan,Cr(III),4,1,0.69,Journal of Environmental Protection,,
water-based polyacrylic resin,Cr(VI),2,1,0.0731,10.1038/s41598-025-19662-8,,
water-based polyacrylic resin,Cr(VI),2,NaN,142.86,10.1038/s41598-025-19662-8,,
Alginate,Rhodamine B,NaN,NaN,0.6,Table 1,,
chitosan filter,Cu(II),5.5,NaN,313,"""Ráheľ et al.",,
PANI-NiFe2O4,Malachite green,7,30,4.09,10.1007/s13204-014-0383-5,,
PANI-NiFe2O4,Malachite green,7,60,6.81,10.1007/s13204-014-0383-5,,
PANI-NiFe2O4,Malachite green,7,90,8.62,10.1007/s13204-014-0383-5,,
Durian seed immobilized Ca-alginate,Hg(II),6,NaN,1.553,https://doi.org/10.24036/eksakta/vol23-iss01/305,,
Durian seed immobilized Ca-alginate,Hg(II),6,10,1.786,https://doi.org/10.24036/eksakta/vol23-iss01/305,,
Durian seed immobilized Ca-alginate,Hg(II),NaN,NaN,2.880,https://doi.org/10.24036/eksakta/vol23-iss01/305,,
Durian seed immobilized Ca-alginate,Hg(II),NaN,250,62.067,https://doi.org/10.24036/eksakta/vol23-iss01/305,,
Durian seed immobilized Ca-alginate,Hg(II),6,300,74.121,https://doi.org/10.24036/eksakta/vol23-iss01/305,,
chitosan,methyl orange,4,100,30.14,10.4236/jwarp.2010.210107,,
chitosan,methyl orange,5,100,25.52,10.4236/jwarp.2010.210107,,
chitosan,methyl orange,6,100,16.58,10.4236/jwarp.2010.210107,,
chitosan,methyl orange,7,100,15.75,10.4236/jwarp.2010.210107,,
chitosan,methyl orange,8,100,14.02,10.4236/jwarp.2010.210107,,
chitosan,methyl orange,9,100,11.79,10.4236/jwarp.2010.210107,,
chitosan,methyl orange,4,15,5.53,10.4236/jwarp.2010.210107,,
chitosan,methyl orange,4,30,11.26,10.4236/jwarp.2010.210107,,
chitosan,methyl orange,4,40,15.52,10.4236/jwarp.2010.210107,,
chitosan,methyl orange,4,50,19.08,10.4236/jwarp.2010.210107,,
chitosan,methyl orange,4,70,24.29,10.4236/jwarp.2010.210107,,
Sodium alginate,Methylene blue,NaN,NaN,20.5,Iraqi Journal of Agricultural Sciences –2023:54(5):1387-1397,,
Cellulose,Phenol,10,20,10.75,pH variation,,
Cellulose,Phenol,NaN,20,43.209,kinetic study,,
Cellulose,Phenol,NaN,NaN,35.336,maximum adsorption capacity at 60°C,,
Polyacrylamide cryogel,As(V),7,100,22.11,Table 2 (Gel a),,
Chitosan hydrogel,Erythromycin,2,10,9.95,https://doi.org/10.21203/rs.3.rs-2901346/v1,,
Chitosan hydrogel,Erythromycin,2,NaN,44.05,https://doi.org/10.21203/rs.3.rs-2901346/v1,,
Chitosan hydrogel,Congo red,6,10,10,https://doi.org/10.21203/rs.3.rs-2901346/v1,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Chitosan hydrogel,Congo red,6,NaN,57.80,https://doi.org/10.21203/rs.3.rs-2901346/v1,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
GNs-polypyrrole,Hg(II),NaN,NaN,980,[92],,
polyaniline,Reactive Red 2,7,250,131.4,10.15244/pjoes/67554,,
polyaniline,Reactive Red 2,7,500,220.8,10.15244/pjoes/67554,,
polyaniline,Reactive Red 2,7,NaN,202.0,10.15244/pjoes/67554,,
agarose,methylene blue,NaN,NaN,9.78,Chemistry Central Journal 2012,,
agarose,methylene blue,NaN,0.0001,9.52,Chemistry Central Journal 2012,,
agarose,methylene blue,NaN,0.0003,12.35,Chemistry Central Journal 2012,,
Fe/Cu CNS-alginate-CMC-chitosan beads,norfloxacin,6.0,20,86,RSC Adv.,,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Fe/Cu CNS-alginate-CMC-chitosan beads,norfloxacin,4.0,20,67,RSC Adv.,,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Fe/Cu CNS-alginate-CMC-chitosan beads,norfloxacin,10.0,20,30,RSC Adv.,,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Fe/Cu CNS-alginate-CMC-chitosan beads,norfloxacin,6.0,,354.9,RSC Adv.,,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Cellulose powder,malachite green,7.2,NaN,2.42,"""Sekhar et al.",,
Polymeric gel (C4),malachite green,8,NaN,4.9,"""Malana et al.",,
Unsaturated polyester Ce(IV) phosphate,malachite green,8,NaN,1.01,NaN,,
poly(LIM-co-DVB-co-AcM),methylene blue,7,10,54.2,Polymer Bulletin (2025) 82:3207-3223,,
Microcrystalline cellulose (from OPF),methylene blue,NaN,NaN,11.42,[63],,
Halloysite (CTAB-cellulose biocomposite),Pb(II),NaN,NaN,389.8,Abu-Danso et al. 2020,,[Pb+2]
Halloysite (CTAB-cellulose biocomposite),Cd(II),NaN,NaN,116.0,Abu-Danso et al. 2020,,[Cd+2]
Vermiculite (chitosan biocomposite),As(III),NaN,NaN,72.2,Saleh et al. 2016,,
Vermiculite (chitosan biocomposite),Cd(II),NaN,NaN,58.5,Chen et al. 2018a,,[Cd+2]
Vermiculite (chitosan biocomposite),Pb(II),NaN,NaN,166.7,Chen et al. 2018a,,[Pb+2]
Vermiculite (chitosan biocomposite),Cr(VI),NaN,NaN,102.7,Chen et al. 2020a,,
Palygorskite (polyamide magnetic),Hg(II),NaN,NaN,211.9,Saleh et al. 2018,,
XG-g-PAN,methylene blue,7,5,4.288,Paper text,,
XG-g-PAN,methylene blue,7,NaN,120.79,Paper text,,
Poly(HEMA-GMA)-PLL-Cu(II),Acid Blue 113,2,1000,335.3,Sci. Rep. (2026) doi:10.1038/s41598-026-47887-8,,
Poly(HEMA-GMA)-PLL-Cu(II),Acid Blue 113,4,1000,426.6,Sci. Rep. (2026) doi:10.1038/s41598-026-47887-8,,
Poly(HEMA-GMA)-PLL-Cu(II),Acid Blue 113,5,1000,412.5,Sci. Rep. (2026) doi:10.1038/s41598-026-47887-8,,
Poly(HEMA-GMA)-PLL-Cu(II),Acid Blue 113,10,1000,175.4,Sci. Rep. (2026) doi:10.1038/s41598-026-47887-8,,
Poly(HEMA-GMA)-PLL-Cu(II),Acid Blue 113,4,100,113.4,Sci. Rep. (2026) doi:10.1038/s41598-026-47887-8,,
Poly(HEMA-GMA)-PLL-Cu(II),Acid Blue 113,4,2000,501.6,Sci. Rep. (2026) doi:10.1038/s41598-026-47887-8,,
Poly(HEMA-GMA)-PLL-Cu(II),Acid Blue 113,4,5000,506.2,Sci. Rep. (2026) doi:10.1038/s41598-026-47887-8,,
Poly(HEMA-GMA)-PLL-Cu(II),Acid Blue 113,NaN,2000,503.2,Sci. Rep. (2026) doi:10.1038/s41598-026-47887-8,,
Poly(HEMA-GMA),Acid Blue 113,4,2000,126.7,Sci. Rep. (2026) doi:10.1038/s41598-026-47887-8,,
Poly(HEMA-GMA)-PLL,Acid Blue 113,4,2000,213.9,Sci. Rep. (2026) doi:10.1038/s41598-026-47887-8,,
GG-g-poly(AMPS-co-DMAPMAm)-8,Rhodamine B,NaN,100,35.70,"""Zauro and Vishalakshi",,
GG-g-poly(AMPS-co-DMAPMAm)-8,Chromotrope 2R,NaN,100,17.73,"""Zauro and Vishalakshi",,
GG-g-poly(AMPS-co-DMAPMAm)/MMT-3,Rhodamine B,NaN,100,31.92,"""Zauro and Vishalakshi",,
GG-g-poly(AMPS-co-DMAPMAm)/MMT-3,Chromotrope 2R,NaN,100,17.56,"""Zauro and Vishalakshi",,
Sponge-like tannin-based cryogels,tetracycline,9,50,19.24,[48],,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
Bayberry tannin functionalized copper alginate microspheres,tetracycline,7,20,32.61,[44],,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
polyethersulfone,Pb,7,NaN,144,https://doi.org/10.1038/s41598-023-27796-w,,
chitosan,Cr(VI),3.0,40,34.17,Journal of Textile Science and Technology,,
chitosan treated banana fiber,Cr(VI),NaN,NaN,30.057,Journal of Textile Science and Technology,,
chitosan treated areca fiber,Cr(VI),NaN,NaN,30.156,Journal of Textile Science and Technology,,
chitosan_new,Direct Yellow 86,NaN,5e-5,0.16,http://dx.doi.org/10.4236/aces.2014.44048,,
chitosan_new_EtOH_1d,Direct Yellow 86,NaN,5e-5,0.17,http://dx.doi.org/10.4236/aces.2014.44048,,
chitosan_new_EtOH_4d,Direct Yellow 86,NaN,5e-5,0.16,http://dx.doi.org/10.4236/aces.2014.44048,,
chitosan_new,Direct Yellow 86,NaN,5e-6,0.014,http://dx.doi.org/10.4236/aces.2014.44048,,
chitosan_new_EtOH_1d,Direct Yellow 86,NaN,5e-6,0.016,http://dx.doi.org/10.4236/aces.2014.44048,,
chitosan_new_EtOH_4d,Direct Yellow 86,NaN,5e-6,0.016,http://dx.doi.org/10.4236/aces.2014.44048,,
chitosan_std,Direct Yellow 86,12,5e-5,0.17,http://dx.doi.org/10.4236/aces.2014.44048,,
chitosan_std_NaOH,Direct Yellow 86,NaN,5e-5,0.24,http://dx.doi.org/10.4236/aces.2014.44048,,
chitosan_std_EtOH_1d,Direct Yellow 86,NaN,5e-5,0.17,http://dx.doi.org/10.4236/aces.2014.44048,,
chitosan_std_EtOH_4d,Direct Yellow 86,NaN,5e-5,0.21,http://dx.doi.org/10.4236/aces.2014.44048,,
chitosan_std,Direct Yellow 86,12,5e-6,0.019,http://dx.doi.org/10.4236/aces.2014.44048,,
chitosan_std_NaOH,Direct Yellow 86,NaN,5e-6,0.026,http://dx.doi.org/10.4236/aces.2014.44048,,
chitosan_std_EtOH_4d,Direct Yellow 86,NaN,5e-6,0.022,http://dx.doi.org/10.4236/aces.2014.44048,,
chitosan_new,Direct Blue 78,NaN,5e-5,0.074,http://dx.doi.org/10.4236/aces.2014.44048,,
chitosan_new_EtOH_1d,Direct Blue 78,NaN,5e-5,0.17,http://dx.doi.org/10.4236/aces.2014.44048,,
chitosan_new_EtOH_4d,Direct Blue 78,NaN,5e-5,0.17,http://dx.doi.org/10.4236/aces.2014.44048,,
chitosan_new_EtOH_1d,Direct Blue 78,NaN,5e-6,0.017,http://dx.doi.org/10.4236/aces.2014.44048,,
chitosan_new_EtOH_4d,Direct Blue 78,NaN,5e-6,0.011,http://dx.doi.org/10.4236/aces.2014.44048,,
chitosan_std,Direct Blue 78,12,5e-5,0.16,http://dx.doi.org/10.4236/aces.2014.44048,,
chitosan_std_NaOH,Direct Blue 78,NaN,5e-5,0.17,http://dx.doi.org/10.4236/aces.2014.44048,,
chitosan_std_EtOH_1d,Direct Blue 78,NaN,5e-5,0.14,http://dx.doi.org/10.4236/aces.2014.44048,,
chitosan_std_EtOH_4d,Direct Blue 78,NaN,5e-5,0.16,http://dx.doi.org/10.4236/aces.2014.44048,,
chitosan_std,Direct Blue 78,12,5e-6,0.019,http://dx.doi.org/10.4236/aces.2014.44048,,
chitosan_std_NaOH,Direct Blue 78,NaN,5e-6,0.018,http://dx.doi.org/10.4236/aces.2014.44048,,
chitosan_std_EtOH_1d,Direct Blue 78,NaN,5e-6,0.0056,http://dx.doi.org/10.4236/aces.2014.44048,,
chitosan_std_EtOH_4d,Direct Blue 78,NaN,5e-6,0.014,http://dx.doi.org/10.4236/aces.2014.44048,,
chitosan_new,Direct Red 83:1,NaN,5e-5,0.046,http://dx.doi.org/10.4236/aces.2014.44048,,
chitosan_new_EtOH_1d,Direct Red 83:1,NaN,5e-5,0.025,http://dx.doi.org/10.4236/aces.2014.44048,,
chitosan_new_EtOH_4d,Direct Red 83:1,NaN,5e-5,0.018,http://dx.doi.org/10.4236/aces.2014.44048,,
chitosan_new,Direct Red 83:1,NaN,5e-6,0.010,http://dx.doi.org/10.4236/aces.2014.44048,,
chitosan_new_EtOH_1d,Direct Red 83:1,NaN,5e-6,0.016,http://dx.doi.org/10.4236/aces.2014.44048,,
chitosan_new_EtOH_4d,Direct Red 83:1,NaN,5e-6,0.016,http://dx.doi.org/10.4236/aces.2014.44048,,
chitosan_std,Direct Red 83:1,12,5e-5,0.081,http://dx.doi.org/10.4236/aces.2014.44048,,
chitosan_std_NaOH,Direct Red 83:1,NaN,5e-5,0.017,http://dx.doi.org/10.4236/aces.2014.44048,,
chitosan_std_EtOH_1d,Direct Red 83:1,NaN,5e-5,0.043,http://dx.doi.org/10.4236/aces.2014.44048,,
chitosan_std_EtOH_4d,Direct Red 83:1,NaN,5e-5,0.028,http://dx.doi.org/10.4236/aces.2014.44048,,
chitosan_std,Direct Red 83:1,12,5e-6,0.014,http://dx.doi.org/10.4236/aces.2014.44048,,
chitosan_std_NaOH,Direct Red 83:1,NaN,5e-6,0.017,http://dx.doi.org/10.4236/aces.2014.44048,,
chitosan_std_EtOH_1d,Direct Red 83:1,NaN,5e-6,0.012,http://dx.doi.org/10.4236/aces.2014.44048,,
chitosan_std_EtOH_4d,Direct Red 83:1,NaN,5e-6,0.011,http://dx.doi.org/10.4236/aces.2014.44048,,
PMMA/RHA/PP,tartrazine,2.0,30,165.7,[65],,
Chitosan,tartrazine,3.0,700,1065.55,[66],,
KG-cl-poly(AA-co-NVI) hydrogel,tartrazine,3,80,201.5,[126],,
Glass beads coated with chitosan DD 85%,tartrazine,3,100,60,[128],,
PANI,tartrazine,2.0,48.1,113.21,[129],,
RCTLW gelatin beads,tartrazine,2.5,100,263.13,[135],,
PA6/PPy,atrazine,NaN,1,0.33,Nanoscale Research Letters (2015) 10:207,,
PA6/PPy,atrazine,NaN,10,3.2,Nanoscale Research Letters (2015) 10:207,,
PA6/PPy,atrazine,3,10,1.36,Nanoscale Research Letters (2015) 10:207,,
PA6/PPy,atrazine,11,10,2.57,Nanoscale Research Letters (2015) 10:207,,
PA6/PPy,atrazine,7,10,2.18,Nanoscale Research Letters (2015) 10:207,,
PA6/PPy,atrazine,NaN,200,14.8,Nanoscale Research Letters (2015) 10:207,,
bacterial cellulose aerogel,methylene blue,6.5,10,4.1,10.1021/acsomega.3c03130,,
bacterial cellulose aerogel,methylene blue,6.5,200,29.7,10.1021/acsomega.3c03130,,
bacterial cellulose aerogel,methylene blue,6.5,50,14.8,10.1021/acsomega.3c03130,,
bacterial cellulose aerogel,rhodamine B,6.5,200,30,10.1021/acsomega.3c03130,,
bacterial cellulose aerogel,crystal violet,6.5,200,30,10.1021/acsomega.3c03130,,
bacterial cellulose aerogel,malachite green,6.5,200,48.6,10.1021/acsomega.3c03130,,
bacterial cellulose aerogel,congo red,6.5,200,101.4,10.1021/acsomega.3c03130,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
BNC hydrogel,tetracycline,7,50,54.97,10.1038/s41598-025-18254-w,,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
BNC hydrogel,tetracycline,7,NaN,59.52,10.1038/s41598-025-18254-w,,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
BNC hydrogel,tetracycline,NaN,80,75.24,10.1038/s41598-025-18254-w,,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
Sapotaceae seed (chitosan+acid),Cr(VI),NaN,NaN,84.31,[54],,
Sapotaceae seed (chitosan coated),Cr(VI),NaN,NaN,76.23,[54],,
CSC (chitosan+HNO3),Cr(VI),NaN,NaN,10.88,[63],,
CSC (chitosan+H2SO4),Cr(VI),NaN,NaN,4.05,[63],,
CSCCC (chitosan),Cr(VI),NaN,NaN,3.65,[63],,
Shell carbon (H3PO4+chitosan),Zn(II),NaN,NaN,60.41,[103],,
Shell carbon (chitosan mod),Zn(II),NaN,NaN,50.93,[103],,
Spirodela polyrhiza (L.) Schleiden biomass,Cd(II),NaN,NaN,36,[134],,[Cd+2]
Spirodela polyrhiza (L.) Schleiden biomass,Pb(II),NaN,NaN,137,[134],,[Pb+2]
Cs/lig/PEG,Cr(VI),2,NaN,53.7,https://doi.org/10.1007/s42452-025-07646-2,,
Non-Imprinted Polymer (NIP),salicylic acid,NaN,NaN,63.5,"""Xu et al.",,
Molecularly Imprinted Chitosan,salicylic acid,NaN,NaN,30.42,"""Rahangdale et al.",,
Molecularly Imprinted Polymer,salicylic acid,NaN,NaN,30.3,"""Rahangdale et al.",,
Lentinus concinnus immobilized with PVA/PEO hydrogels,RY-86,5,200,87.6,Bayramoglu and Yilmaz (2018),,
Spheroidal cellulose,Cr(III),5,NaN,89.90,"""Liu et al.",,
Aluminium impregnated chitosan,Fluoride,NaN,NaN,1.73,Table 2,,
Protonated chitosan beads,Fluoride,NaN,NaN,1.66,Table 2,,
Nano-hydroxyapatite/chitosan composite,Fluoride,NaN,NaN,1.56,Table 2,,
Carboxylated chitosan beads,Fluoride,NaN,NaN,1.39,Table 2,,
Hydrotalcite/chitosan composite,Fluoride,NaN,NaN,1.26,Table 2,,
Metal-alginate particles crosslinked with Zn2+,Ciprofloxacin,7.0,0.1-1.5,928.6,Azizeh et al. (2024),,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O
Metal-alginate particles crosslinked with Zn2+,Doxycycline,7.0,0.1-2.5,690.0,Azizeh et al. (2024),,C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
Metal-alginate particles crosslinked with Zn2+,Amoxicillin,7.0,0.05-1,1.20,Azizeh et al. (2024),,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C
Metal-alginate particles crosslinked with Fe3+,Ciprofloxacin,NaN,0.1-1.5,356.5,Azizeh et al. (2024),,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O
