PAPER,OLD_ROWS,NEW_ROWS,MATCH,DETAIL
Adsorptive_Removal_of_a_Reactive_Azo_Dye_Using_Polyaniline-Intercalated_Bentonite,5,10,0,14 mismatches
Adsorptive_capture_of_Congo_red_and_Erythromycin_pollutants_from_water_by_Functionalized_ecofriendly_chitosan_and_nanobiochar_with_silica_gel,12,8,0,20 mismatches
Adsorptive_removal_of_norfloxacin_from_aqueous_solutions_by_FeCu_CNS-embedded_alginatecarboxymethyl_cellulosechitosan_beads,6,7,0,13 mismatches
Advancing_eco-friendly_adsorption_a_sustainable_approach_for_rapid_and_efficient_methylene_blue_removal,1,3,1,2 mismatches
Amidoxime-functionalized_xanthan_gum_adsorbents_synthesis_characterization_and_theoretical_insight_into_methylene_blue_removal,4,4,2,4 mismatches
Amine-functionalized_copper-coordinated_cryogels_for_efficient_removal_of_Acid_Blue_113_from_water,24,24,23,0 mismatches
An_environmentally_benign_chelative_biosorbent_for_efficient_adsorption_remediation_of_tetracycline_contamination,25,23,22,4 mismatches
Analysis_of_the_Adsorption_of_Toxic_Chromium_VI_by_Untreated_and_Chitosan_Treated_Banana_and_Areca_Fiber,7,5,0,12 mismatches
Applicative_Study_Part_I_The_Excellent_Conditions_to_Remove_in_Batch_Direct_Textile_Dyes_Direct_Red_Direct_Blue_and_Direct_Yellow_from_Aqueous_Solutions_by_Adsorption_Processes_on_Low-Cost_Chitosan_Fi,40,40,0,78 mismatches
Aqueous_Phase_Removal_of_Tartrazine,19,61,17,44 mismatches
Atrazine_adsorption_removal_with_nylon6polypyrrole_core-shell_nanofibers_mat_possible_mechanism_and_characteristics,13,13,0,26 mismatches
Bacterial_Cellulose_Aerogels_Derived_from_Pineapple_Peel_Waste_for_the_Adsorption_of_Dyes,10,12,8,6 mismatches
Bacterial_nanocellulose-based_hydrogel_from_Bacillus_subtilis_W7_for_a_sustainable_adsorption_of_tetracycline_from_wastewater,4,5,0,8 mismatches
Biomass-Based_Adsorbents_for_Removal_of_Dyes_From_Wastewater_A_Review,28,23,0,51 mismatches
Biosynthesis_approach_of_zinc_oxide_nanoparticles_for_aqueous_phosphorous_removal_physicochemical_properties_and_antibacterial_activities,4,3,2,2 mismatches
Biotechnological_adsorbents_for_removal_of_drugs_from_water_use_of_microorganisms_biopolymers_and_composite_materials,25,29,2,42 mismatches
CadmiumII_Capture_Using_Amino_Functionalized_Hydrogel_with_Double_Network_Interpenetrating_Structure_Adsorption_Behavior_Study,6,8,6,2 mismatches
Carbon_Dots_Derived_from_Waste_Fish_Scale_for_Enhanced_Removal_of_Levofloxacin_Drug_Parametric_Optimization_Isotherm_and_Kinetic_Studies,10,1,1,9 mismatches
Cellulose_citrate_a_convenient_and_reusable_bio-adsorbent_for_effective_removal_of_methylene_blue_dye_from_artificially_contaminated_water,4,4,3,2 mismatches
Chitosan-Derived_Porous_Carbon_for_Efficient_Adsorptive_Removal_of_Amoxicillin_and_Doxycycline_Antibiotics_from_Aqueous_Systems,5,25,0,30 mismatches
Chitosan_impregnated_sugarcane_bagasse_biochar_for_removal_of_anionic_dyes_from_wastewater,2,2,0,4 mismatches
Comparative_Adsorptive_Removal_of_Selected_Heavy_Metals_from_Battery_Wastewater_by_Purified_and_Polyethylene_Glycol_Modified_Carbon_Nanotubes,10,20,5,20 mismatches
Developing_a_new_sustainable_eco-adsorbent_film_from_flexographic_printing_plate_waste_to_remove_cationic_organic_and_inorganic_pollutants,6,6,3,6 mismatches
Eco-friendly_PVA-chitosan_adsorbent_films_for_the_removal_of_azo_dye_Acid_Orange_7_Physical_cross-linking_adsorption_process_and_reuse_of_the_material,9,9,0,18 mismatches
Effective_removal_of_methylene_blue_dye_by_a_novel_4vinylpyridinecomethacrylic_acid_cryogel_kinetic_isotherm_and_breakthrough_studies,9,8,0,14 mismatches
Efficacious_biosorption_of_crystal_violet_pollutant_dye_from_aqueous_solutions_via_Padina_pavonica_derived_alginate,3,3,3,0 mismatches
Electrospun_nanofibers_of_cellulose_acetatemetal_organic_framework-third_generation_PAMAM_dendrimer_for_the_removal_of_methylene_blue_from_aqueous_media,8,7,7,1 mismatches
Endocrine_disruptor_17_β-estradiol_removal_by_poly_pyrrole-based_molecularly_imprinted_polymer_kinetic_isotherms_and_thermodynamic_studies,4,4,3,2 mismatches
Enhanced_aqueous_phosphate_removal_using_chitosan-modified_zirconium-loaded_cork_biochar,8,11,0,19 mismatches
Enhanced_cadmium_II_adsorption_via_calcium_alginate_encapsulation_of_HPMBP_in_heavy_metal_remediation,8,21,8,13 mismatches
Experimental_and_DFT_studies_of_the_removal_of_pharmaceutical_metronidazole_from_water_using_polypyrrole,2,2,0,4 mismatches
Experimental_and_theoretical_investigations_of_divinylbenzene-based_polymer_as_an_efficient_adsorbent_for_brilliant_green_dye_removal,6,6,6,0 mismatches
Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens,81,103,0,174 mismatches
Fabrication_of_Novel_Electrospun_Polyacrylic_AcidChitosan_Nanofibers_for_Organic_Dye_Adsorption_from_Aqueous_Solution,3,4,0,7 mismatches
Fabrication_of_a_PVA-encapsulated_MCCSVO2_composite_via_melt_intercalation_for_efficient_fixed-bed_adsorption_of_methylene_blue,7,15,0,22 mismatches
Feasibility_of_Eu3_and_Ti4_Sorption_Using_Amine_Functionalized_Poly_Acrylate_hydrogelnano_Silica_from_Monazite_Waste_Aqueous_Solution_Kinetic_and_Equilibrium_Aspects,2,2,2,0 mismatches
Free-Standing_Bacterial_CellulosePolypyrrole_Composites_for_Eco-Friendly_Remediation_of_Hexavalent_Chromium_Ions,4,5,4,1 mismatches
Green_synthesis_and_characterization_of_CuOPANI_nanocomposite_for_efficient_Pb_II_adsorption_from_contaminated_water,6,5,0,11 mismatches
Green_wastewater_treatment_of_repurposed_COVID-19_therapy_levofloxacin_using_synthesized_magnetite_pectin_nanoparticles_comparison_with_mesoporous_silica_nanoparticles,6,6,6,0 mismatches
Harnessing_a_carbon-based_material_from_food_waste_digestate_for_dye_adsorption_the_role_of_hydrogel_beads_in_enhancing_the_material_stability_and_regenerative_capacity,4,10,0,14 mismatches
High_Removal_Efficiency_of_Methyl_Orange_Dye_by_Pure_and_Cu_N_Doped_TiO2Polyaniline_Nanocomposites,4,4,4,0 mismatches
Histidine-conjugated_chitosan_as_efficient_adsorbent_for_Congo_red_dye_elimination_from_aqueous_solution,19,1,1,18 mismatches
Insights_into_theipi-nitrophenol_adsorption_by_amidoxime-modified_polyacrylonitrile-icoi-acrylic_acid_characterization_kinetics_isotherm_thermodynamic_regeneration_and_mechanism_study,5,6,5,1 mismatches
Investigation_of_Acid_Blue_62_Dye_Adsorption_using_SBA-15Polyaniline_Mesoporous_Nanocomposite_Kinetic_and_Thermodynamic_Study,1,2,0,3 mismatches
Investigation_of_Reactive_Red_198_Dye_Removal_by_Chitosan_from_Aqueous_Solution,16,15,11,9 mismatches
Investigation_of_kinetic_isotherm_and_adsorption_efficacy_of_thorium_by_orange_peel_immobilized_on_calcium_alginate,6,4,0,10 mismatches
Isotherm_and_Kinetic_Studies_on_the_Adsorption_Behavior_of_Metanil_Yellow_Dyes_onto_Modified_Shrimp_Shell-Polyethylenimine_SS-PEI,3,3,0,6 mismatches
Kineticand_equilibrium_study_of_trinitrophenol_adsorption_onto_polyaniline_tea_wastenanocomposite_from_aqueous_medium,1,4,0,5 mismatches
Kinetics_Isotherm_and_Thermodynamic_Studies_of_the_Adsorption_of_Reactive_Red_239_Dye_from_Aqueous_Solution_by_Chitosan_8B,24,20,0,44 mismatches
Low-cost_chitosan-calcite_adsorbent_development_for_potential_phosphate_removal_and_recovery_from_wastewater_effluent,9,21,0,30 mismatches
Metal-organic_framework_decorated_by_chitosan_implemented_as_an_efficient_solid_phase_extraction_of_antibiotics_residues_from_milk,10,10,10,0 mismatches
Methylene_Blue_Dye_Adsorption_in_Aqueous_System_using_Microcrystalline_Cellulose_obtained_from_Sugarcane_Bagasse,1,2,0,3 mismatches
Microwave-assisted_synthesis_and_characterization_of_Xanthan_gum-grafted_polyacrylamide_hydrogel_for_the_removal_of_acid_red_8_dye_from_aqueous_solutions,10,8,1,14 mismatches
Modification_of_SiO2_from_Rice_Husk_with_Polyvinyl_Alcohol_PVA_as_Adsorbent_of_Congo_Red_Dye,2,2,2,0 mismatches
Modified_chitosan_as_a_potential_bioresin_for_AgI_recovery,2,14,0,16 mismatches
Novel_carbonate_oxide_and_hydroxide_nanohybrids_based_on_Mg_Ba_and_Ca_for_efficient_Safranin_O_dye_adsorption,4,4,0,8 mismatches
Novel_high-efficient_adsorbent_based_on_modified_gelatinmontmorillonite_nanocomposite_for_removal_of_malachite_green_dye,9,30,0,39 mismatches
Optimization_of_Methylene_Blue_Dye_Adsorption_onto_Coconut_Husk_Cellulose_Using_Response_Surface_Methodology_Adsorption_Kinetics_Isotherms_and_Reusability_Studies,2,2,2,0 mismatches
Performance_evaluation_of_3D-printed_geopolymer_monoliths_for_cadmium_adsorption,20,20,0,40 mismatches
Polyacrylic_acid-icoi-2-acrylamido-2-methyl-1-propanesulfonic_acid-grafted_chitosan_hydrogels_for_effective_adsorption_and_photocatalytic_degradation_of_dyes,3,4,0,7 mismatches
Polyethyleneimine-Modified_Garden_WasteBiochar_Preparation_and_Its_Applicationfor_Aqueous_CrⅥ_Adsorption,17,11,11,6 mismatches
Polymeric_Composites_for_Efficient_Dye_Removal_Adsorption_Mechanisms_Environmental_Impact_and_Performance_Evaluation,8,8,6,4 mismatches
Polyurea_Membrane_as_potential_purifying_technology_for_Water_Cleaning_Kinetic_and_Equilibrium_Modeling_of_Dyes_Adsorption,3,3,0,6 mismatches
Polyvinyl_alcohol_cross-linked_graphene_oxide_with_grafted_glutamic_acid_aerogels_for_enhanced_methylene_blue_adsorption,5,6,0,11 mismatches
Preparation_and_characterization_of_chitosanzeolite_composites_for_Reactive_Orange_122_dye_removal_from_aqueous_media_isotherm_and_kinetic_studies,1,3,0,4 mismatches
Recent_advances_on_the_removal_of_dyes_from_wastewater_using_various_adsorbents_a_critical_review,6,9,6,3 mismatches
Regenerable_chitosan-embedded_magnetic_iron_oxide_beads_for_nitrate_removal_from_industrial_wastewater,5,5,5,0 mismatches
Removal_of_AsV_and_CrVI_using_quinoxaline_chitosan_schiff_base_synthesis_characterization_and_adsorption_mechanism,12,8,5,10 mismatches
Removal_of_Congo_Red_From_Water_By_Adsorption_Onto_Chitosan-BN-Fe2O3_Kinetic_and_Isotherm_Studies,5,5,0,10 mismatches
Removal_of_Eriochrome_Black_T_dye_using_Plant_Based_Bio-Adsorbent_A_Review,18,18,16,4 mismatches
Removal_of_Methylene_Blue_Dye_from_Wastewater_Using_Polydopamine_Agave_Americana_Fibres-co-PolyAAcAg_Nanocomposites,15,15,15,0 mismatches
Removal_of_Mn_II_by_Sodium_AlginateGraphene_Oxide_Composite_Double-Network_Hydrogel_Beads_from_Aqueous_Solutions,8,5,0,12 mismatches
Removal_of_hexavalent_chromium_from_aqueous_solutions_using_nano-Fe3O4waste_banana_peelalginate_hydrogel_biobeads_as_adsorbent,2,2,0,4 mismatches
Repurposing_waste_plastic_into_a_sustainable_adsorbent_for_removing_synthetic_dye_experimental_optimization_and_theoretical_modeling,4,5,2,5 mismatches
SYNTHESIS_CHARACTERIZATION_AND_POTENTIAL_APPLICATION_OF_BIOCOMPOSITE_MATERIAL_BASED_ON_SAWDUST_BIOMASS_FOR_REMOVAL_OF_PERSISTENT_ORGANIC_POLLUTANTS_FROM_AQUEOUS_SOLUTIONS,3,9,3,6 mismatches
Silica_aerogels_modified_with_vinyl_epoxide_methacrylate_moieties_for_the_removal_of_ciprofloxacin_by_adsorption_from_water,20,7,0,27 mismatches
Sonochemically_Modified_Lapindo_Mud_Using_Sulfuric_Acid_for_Efficient_Adsorption_of_Phenol_in_Aqueous_Media_and_Real_Wastewater_Samples,9,9,8,2 mismatches
Sorption_of_Cobalt_II_Ions_from_Aqueous_Solutions_Using_Chemically_Modified_Chitosan,12,14,0,26 mismatches
Sorption_of_PtIV_ions_on_polym-aminobenzoic_acid_chelating_polymer_Equilibrium_kinetic_and_thermodynamic_studies,6,6,6,0 mismatches
State-of-the-art_modification_mechanistic_insight_and_breakthrough_curve_analysis_of_chitosan_scaffolds_for_sustainable_heavy_metal_adsorbent,59,69,32,40 mismatches
Study_of_a_fixed-bed_column_in_the_adsorption_of_an_azo_dye_from_an_aqueous_medium_using_a_chitosanglutaraldehyde_biosorbent,7,7,7,0 mismatches
Study_of_the_Adsorption_Efficiency_of_an_Eco-Friendly_Carbohydrate_Polymer_for_Contaminated_Aqueous_Solution_by_Organophosphorus_Pesticide,8,6,6,2 mismatches
Sustainable_removal_of_brilliant_green_dye_from_aqueous_media_using_a_calcium_alginatepolydopamine_bio-composite_process_optimization_and_adsorption_mechanism,25,17,13,8 mismatches
Synergetic_studies_on_the_thermochemical_activation_and_polyaniline_integration_on_the_adsorption_properties_of_natural_coal_for_chlorpyrifos_pesticide_steric_and_energetic_studies,12,12,0,24 mismatches
Synergistic_effect_of_bio-inspired_PsylliumOkra_hybrid_backbone_based_hydrogel_using_RSM_optimization_for_efficient_removal_of_toxic_malachite_green_dye_and_sequestration_of_uranium_VI_ions_from_water,2,2,0,4 mismatches
Synthesis_and_Evaluation_of_the_Ability_of_PolyMethacrylic_Acid-co-acrylamidenanoclay_Composite_Hydrogel_in_the_Adsorption_of_Methylene_Blue_Dye,8,6,0,14 mismatches
Synthesis_characterization_and_adsorption_performance_of_novel_acidic_calixarene-modified_LDHpolyaniline_nanohybrid_for_efficient_CrVI_removal,5,8,3,7 mismatches
Synthesis_of_Fe3O4SiO2PEG_Nanocomposite_from_Minerals_Sands_Kinetic_Adsorption_Heavy_Metal_Ion_from_Aqueous_Solution,7,5,0,12 mismatches
Synthesis_of_Quercetin_Loaded_Nanoparticles_Based_on_Alginate_for_PbII_Adsorption_in_Aqueous_Solution,2,2,0,4 mismatches
Synthesis_of_magnetic_Fe3O4SiO2_nanoparticles_decorated_with_polyvinyl_alcohol_for_heavy_metal_ion_removal_from_aqueous_solution,8,8,8,0 mismatches
Synthesis_of_novel_magnesium_ferrite_Schiff_base_chitosan_nanocomposite_for_efficient_removal_of_pbII_ions_from_aqueous_media,9,7,0,16 mismatches
Synthesis_of_quaternized_magnetic_chitosan_and_adsorption_performance_for_methyl_orange_from_aqueous_solution,8,15,0,23 mismatches
Targeted_elimination_of_molybdenum_ions_from_a_leaching_solution_with_the_ability_of_radiated_grafting_GMA-PAN_nanofibers,5,6,0,11 mismatches
Template-assisted_synthesis_of_molecularly_imprinted_polymers_for_the_removal_of_methyl_red_from_aqueous_media,4,4,3,0 mismatches
Tetracycline_Removal_from_Water_by_Adsorption_on_Geomaterial_Activated_Carbon_and_Clay_Adsorbents,8,9,7,3 mismatches
The_Use_of_Acrylic-Based_Polymers_in_Environmental_Remediation_Studies,8,8,3,10 mismatches
The_biosorption_of_mercury_by_permeable_pavement_biofilms_in_stormwater_attenuation,6,11,6,5 mismatches
The_removal_of_heavy_metal_ions_from_wastewateraqueous_solution_using_polypyrrole-based_adsorbents_a_review,48,41,38,9 mismatches
Ultrasound-assisted_synthesis_of_polyacrylamide-grafted_sodium_alginate_and_its_application_in_dye_removal,3,3,3,0 mismatches
Use_of_biochar_in_dye_adsorption_A_systematic_review,60,56,23,70 mismatches
Using_chitosan_made_from_modified_chitosan_Crab_shells_for_dye_adsorption_equilibrium_kinetic_and_response_surface_methods,32,32,0,56 mismatches
Versatile_polymeric_cryogels_and_their_biomedical_applications,12,12,12,0 mismatches
