POLYMER_USED,DRUG,WATER_PH,CONCENTRATION,CAPACITY,SOURCE,ANALYZED_BY,PAPER
"""Calcium-Based MOFs (Ca-MOF) Calcium Silicate (CaSiO3)""","""MB""",NaN,100,4.6,"""[60]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""Calcium-Based MOFs (Ca-MOF) Calcium Silicate (CaSiO3)""","""MB""",NaN,200,8.18,"""[60]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""Poly (ethylene glycol) Diacrylate Hydroxyethyl Methacrylate""","""Rh B""",NaN,100,3.73,"""[61]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""Polyamidoxime""","""U6+""",6.0,NaN,78.01,"""[62]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""Chitosan GO""","""MO""",3.0,NaN,182.33,"""[63]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""Nano-Chitosan""","""MO""",NaN,NaN,"""12.2±0.7""","""[64]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""Chitosan""","""Cu2+""",NaN,NaN,13.7,"""[65]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""Thiol Monomer (Pentaerythritol Tetra (3-mercaptopropionate) PETMP) Alkyne Monomer (3-Butyn-1-ol BA)""","""MG""",NaN,NaN,"""588±16""","""[66]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""Thiol-Functionalized Silica Gel (SiliaMetS Thiol)""","""iHg2+""",NaN,NaN,220,"""[67]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""PA-12""","""17β-Estradiol""",NaN,NaN,"""71±6""","""[68]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""Mercapto-GO Chitosan ε-Polylysine""","""Cu2+""",5,20,313,"""[72]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""GO Chitosan""","""Cu2+""",5,NaN,269,"""[74]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""GO Polydopamine BSA""","""Cr6+""",NaN,NaN,45.05,"""[76]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""GO Polydopamine BSA""","""Pb2+""",NaN,NaN,43.76,"""[76]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""GO Polydopamine BSA""","""MB""",NaN,NaN,35.33,"""[76]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""GO Polydopamine BSA""","""EB""",NaN,NaN,38.73,"""[76]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""SA GO""","""U6+""",NaN,NaN,740.74,"""[77]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""SA GO""","""U6+""",NaN,NaN,847.5,"""[77]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""MXene (Ti3C2Tx) MOFs (UiO-66) Polypyrrole""","""Cr6+""",NaN,NaN,40.84,"""[69]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""MXene (Ti3C2Tx) MOFs (UiO-66) Polypyrrole""","""CR""",NaN,NaN,230.96,"""[69]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""MXene (Ti3C2Tx) MOFs (ZIF-67 and MIL-88A (Fe)) Polypyrrole""","""CR""",NaN,NaN,1515.15,"""[40]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""MXene (Ti3C2Tx) MOFs (ZIF-67 and MIL-88A (Fe)) Polypyrrole""","""Ag+""",NaN,NaN,865.35,"""[40]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""MOFs (Cr-MOF) Nano-Clay (Cloisite® 30B)""","""MO""",4,NaN,1.35,"""[78]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""MOFs (Cr-MOF) Nano-Clay (Cloisite® 30B)""","""DR31""",4,NaN,1.68,"""[78]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""MXene (Ti3C2Tx) MOFs (ZIF-8) Chitosan""","""MO""",NaN,NaN,1.38,"""[80]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""MXene (Ti3C2Tx) MOFs (ZIF-8) Chitosan""","""DR31""",NaN,NaN,1.27,"""[80]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""Silver-Functionalized Zirconium-Based MOFs (UiO-66-SO3H@Ag)""","""Iodine-131""",NaN,NaN,1311,"""[81]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""GO Chitosan""","""CV""",NaN,NaN,46.2,"""[85]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""Copper-Based MOFs (Cu-BTC)""","""MB""",NaN,10,64.3,"""[86]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""MOFs (NH2-MIL-101 (Al))""","""MB""",NaN,NaN,222,"""[88]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""Zeolite Y (CBV100)""","""Pb2+""",5,NaN,8.3,"""[34]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""Zeolite Y (CBV100)""","""Cu2+""",5,NaN,7.8,"""[34]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""Montmorillonite Nanosheets""","""Pb2+""",5.0,1000,134,"""[89]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""Montmorillonite Nanosheets""","""Pb2+""",5.0,NaN,161.47,"""[89]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""Natural Clinoptilolite""","""MB""",NaN,NaN,0.17,"""[93]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""Natural Clinoptilolite Metal Oxide Composite (MgAl LDO)""","""MB""",NaN,NaN,0.16,"""[93]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""Geopolymer""","""Cs+""",NaN,NaN,80.1,"""[94]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""Geopolymer""","""Cs+""",NaN,NaN,21.6,"""[94]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""Zeolite A Geopolymer""","""Cs+""",NaN,NaN,106.3,"""[95]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""Zeolite A Geopolymer""","""Cs+""",NaN,NaN,28.1,"""[95]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""Sodalite""","""Cr6+""",NaN,NaN,72.5,"""[96]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""Natural Zeolite (Clinoptilolite-Rich)""","""MB""",NaN,NaN,0.1363,"""[99]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""Natural Zeolite (Clinoptilolite-Rich)""","""CV""",NaN,NaN,0.262,"""[99]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""Natural Zeolite (Clinoptilolite-Rich)""","""CR""",NaN,NaN,0.189,"""[99]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""Metakaolin (Geopolymer Precursor)""","""Cs+""",NaN,300,21.6,"""[100]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""Metakaolin Activated Carbon (C242) Hydrotalcite""","""Orange II""",NaN,NaN,41.03,"""[91]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""Metakaolin Activated Carbon (C242) Hydrotalcite""","""Orange II""",NaN,NaN,35.73,"""[91]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""Natural Zeolite (Clinoptilolite Phase)""","""MB""",NaN,NaN,2.04,"""[101]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""Natural Zeolite (Clinoptilolite Phase)""","""MB""",NaN,NaN,0.77,"""[101]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""Metakaolin (Argical 1200S)""","""NH4+""",NaN,NaN,"""≥2.6""","""[102]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""Chitosan""","""MO""",NaN,NaN,12.71,"""[104]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""Halloysite Nanotubes SA Chitosan""","""MB""",NaN,NaN,376.3,"""[90]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""Polyvinylidene Fluoride Derived Porous Carbon""","""Bisphenol A""",NaN,NaN,122.5,"""[108]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""Hydroxyapatite""","""Pb2+""",NaN,NaN,10.4,"""[109]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""Diatomite Powder""","""MB""",NaN,NaN,0.834,"""[110]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""Alumina Natural Zeolite""","""NH4+""",NaN,NaN,0.09,"""[111]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
CNF/GO aerogel,CAP,NaN,NaN,421.2,Scientific Reports 7,deepseek-v4-flash (pdf2text),3D_assembly_based_on_2D_structure_of_Cellulose_NanofibrilGraphene_Oxide_Hybrid_Aerogel_for_Adsorptive_Removal_of_Antibiotics_in_Water
CNF/GO aerogel,FF,NaN,NaN,418.7,Scientific Reports 7,deepseek-v4-flash (pdf2text),3D_assembly_based_on_2D_structure_of_Cellulose_NanofibrilGraphene_Oxide_Hybrid_Aerogel_for_Adsorptive_Removal_of_Antibiotics_in_Water
CNF/GO aerogel,REM,NaN,NaN,307.5,Scientific Reports 7,deepseek-v4-flash (pdf2text),3D_assembly_based_on_2D_structure_of_Cellulose_NanofibrilGraphene_Oxide_Hybrid_Aerogel_for_Adsorptive_Removal_of_Antibiotics_in_Water
CNF/GO aerogel,ETM,NaN,NaN,291.8,Scientific Reports 7,deepseek-v4-flash (pdf2text),3D_assembly_based_on_2D_structure_of_Cellulose_NanofibrilGraphene_Oxide_Hybrid_Aerogel_for_Adsorptive_Removal_of_Antibiotics_in_Water
CNF/GO aerogel,NFC,NaN,NaN,134.6,Scientific Reports 7,deepseek-v4-flash (pdf2text),3D_assembly_based_on_2D_structure_of_Cellulose_NanofibrilGraphene_Oxide_Hybrid_Aerogel_for_Adsorptive_Removal_of_Antibiotics_in_Water
CNF/GO aerogel,OFC,NaN,NaN,128.3,Scientific Reports 7,deepseek-v4-flash (pdf2text),3D_assembly_based_on_2D_structure_of_Cellulose_NanofibrilGraphene_Oxide_Hybrid_Aerogel_for_Adsorptive_Removal_of_Antibiotics_in_Water
CNF/GO aerogel,TAP,NaN,NaN,431.3,Scientific Reports 7,deepseek-v4-flash (pdf2text),3D_assembly_based_on_2D_structure_of_Cellulose_NanofibrilGraphene_Oxide_Hybrid_Aerogel_for_Adsorptive_Removal_of_Antibiotics_in_Water
CNF/GO aerogel,PNG,NaN,NaN,475.4,Scientific Reports 7,deepseek-v4-flash (pdf2text),3D_assembly_based_on_2D_structure_of_Cellulose_NanofibrilGraphene_Oxide_Hybrid_Aerogel_for_Adsorptive_Removal_of_Antibiotics_in_Water
CNF/GO aerogel,CFX,NaN,NaN,381.6,Scientific Reports 7,deepseek-v4-flash (pdf2text),3D_assembly_based_on_2D_structure_of_Cellulose_NanofibrilGraphene_Oxide_Hybrid_Aerogel_for_Adsorptive_Removal_of_Antibiotics_in_Water
CNF/GO aerogel,AXC,NaN,NaN,230.7,Scientific Reports 7,deepseek-v4-flash (pdf2text),3D_assembly_based_on_2D_structure_of_Cellulose_NanofibrilGraphene_Oxide_Hybrid_Aerogel_for_Adsorptive_Removal_of_Antibiotics_in_Water
CNF/GO aerogel,SQ,NaN,NaN,238.5,Scientific Reports 7,deepseek-v4-flash (pdf2text),3D_assembly_based_on_2D_structure_of_Cellulose_NanofibrilGraphene_Oxide_Hybrid_Aerogel_for_Adsorptive_Removal_of_Antibiotics_in_Water
CNF/GO aerogel,SD,NaN,NaN,228.9,Scientific Reports 7,deepseek-v4-flash (pdf2text),3D_assembly_based_on_2D_structure_of_Cellulose_NanofibrilGraphene_Oxide_Hybrid_Aerogel_for_Adsorptive_Removal_of_Antibiotics_in_Water
CNF/GO aerogel,ST,NaN,NaN,230.4,Scientific Reports 7,deepseek-v4-flash (pdf2text),3D_assembly_based_on_2D_structure_of_Cellulose_NanofibrilGraphene_Oxide_Hybrid_Aerogel_for_Adsorptive_Removal_of_Antibiotics_in_Water
CNF/GO aerogel,SM,NaN,NaN,327.8,Scientific Reports 7,deepseek-v4-flash (pdf2text),3D_assembly_based_on_2D_structure_of_Cellulose_NanofibrilGraphene_Oxide_Hybrid_Aerogel_for_Adsorptive_Removal_of_Antibiotics_in_Water
CNF/GO aerogel,SP,NaN,NaN,227.3,Scientific Reports 7,deepseek-v4-flash (pdf2text),3D_assembly_based_on_2D_structure_of_Cellulose_NanofibrilGraphene_Oxide_Hybrid_Aerogel_for_Adsorptive_Removal_of_Antibiotics_in_Water
CNF/GO aerogel,SMX,NaN,NaN,302.7,Scientific Reports 7,deepseek-v4-flash (pdf2text),3D_assembly_based_on_2D_structure_of_Cellulose_NanofibrilGraphene_Oxide_Hybrid_Aerogel_for_Adsorptive_Removal_of_Antibiotics_in_Water
CNF/GO aerogel,SMT,NaN,NaN,219.6,Scientific Reports 7,deepseek-v4-flash (pdf2text),3D_assembly_based_on_2D_structure_of_Cellulose_NanofibrilGraphene_Oxide_Hybrid_Aerogel_for_Adsorptive_Removal_of_Antibiotics_in_Water
CNF/GO aerogel,DXC,NaN,NaN,501.1,Scientific Reports 7,deepseek-v4-flash (pdf2text),3D_assembly_based_on_2D_structure_of_Cellulose_NanofibrilGraphene_Oxide_Hybrid_Aerogel_for_Adsorptive_Removal_of_Antibiotics_in_Water
CNF/GO aerogel,CTC,NaN,NaN,478.9,Scientific Reports 7,deepseek-v4-flash (pdf2text),3D_assembly_based_on_2D_structure_of_Cellulose_NanofibrilGraphene_Oxide_Hybrid_Aerogel_for_Adsorptive_Removal_of_Antibiotics_in_Water
CNF/GO aerogel,OTC,NaN,NaN,486.7,Scientific Reports 7,deepseek-v4-flash (pdf2text),3D_assembly_based_on_2D_structure_of_Cellulose_NanofibrilGraphene_Oxide_Hybrid_Aerogel_for_Adsorptive_Removal_of_Antibiotics_in_Water
CNF/GO aerogel,TC,NaN,NaN,454.6,Scientific Reports 7,deepseek-v4-flash (pdf2text),3D_assembly_based_on_2D_structure_of_Cellulose_NanofibrilGraphene_Oxide_Hybrid_Aerogel_for_Adsorptive_Removal_of_Antibiotics_in_Water
CNF/GO aerogel,TC,NaN,NaN,84.8,Scientific Reports 7,deepseek-v4-flash (pdf2text),3D_assembly_based_on_2D_structure_of_Cellulose_NanofibrilGraphene_Oxide_Hybrid_Aerogel_for_Adsorptive_Removal_of_Antibiotics_in_Water
PCL/5%SA filament,Cu,NaN,0.17,11.5,Table 1,deepseek-v4-flash (pdf2text),3D_printed_composites_from_heat_extruded_polycaprolactonesodium_alginate_filaments_and_their_heavy_metal_adsorption_properties
PCL/5%SA filament,Cu,NaN,0.17,12.0,Table 1,deepseek-v4-flash (pdf2text),3D_printed_composites_from_heat_extruded_polycaprolactonesodium_alginate_filaments_and_their_heavy_metal_adsorption_properties
PCL/5%SA filament,Cu,NaN,0.17,11.3,Table 1,deepseek-v4-flash (pdf2text),3D_printed_composites_from_heat_extruded_polycaprolactonesodium_alginate_filaments_and_their_heavy_metal_adsorption_properties
PCL/5%SA filament,Cu,NaN,1,13.4,Table 1,deepseek-v4-flash (pdf2text),3D_printed_composites_from_heat_extruded_polycaprolactonesodium_alginate_filaments_and_their_heavy_metal_adsorption_properties
PCL/5%SA filament,Cu,NaN,1,15.2,Table 1,deepseek-v4-flash (pdf2text),3D_printed_composites_from_heat_extruded_polycaprolactonesodium_alginate_filaments_and_their_heavy_metal_adsorption_properties
PCL/5%SA filament,Cu,NaN,1,17.7,Table 1,deepseek-v4-flash (pdf2text),3D_printed_composites_from_heat_extruded_polycaprolactonesodium_alginate_filaments_and_their_heavy_metal_adsorption_properties
PCL/15%SA filament,Cu,NaN,0.17,17.3,Table 1,deepseek-v4-flash (pdf2text),3D_printed_composites_from_heat_extruded_polycaprolactonesodium_alginate_filaments_and_their_heavy_metal_adsorption_properties
PCL/15%SA filament,Cu,NaN,0.17,19.8,Table 1,deepseek-v4-flash (pdf2text),3D_printed_composites_from_heat_extruded_polycaprolactonesodium_alginate_filaments_and_their_heavy_metal_adsorption_properties
PCL/15%SA filament,Cu,NaN,0.17,21.2,Table 1,deepseek-v4-flash (pdf2text),3D_printed_composites_from_heat_extruded_polycaprolactonesodium_alginate_filaments_and_their_heavy_metal_adsorption_properties
