POLYMER_USED,DRUG,WATER_PH,CONCENTRATION,CAPACITY,SOURCE
polyethyleneimine,Cr(VI),4,50.22,23.01,10.15244/pjoes/188595
PET,Brilliant Green,7,7.5,1.89,RSC Adv.
PET,Brilliant Green,7,7.5,0.81,RSC Adv.
poly(m-aminobenzoic acid),Pt(IV),4,10,0.893,Öztürk et al. 2020 SN Applied Sciences
poly(m-aminobenzoic acid),Pt(IV),4,15,1.157,Öztürk et al. 2020 SN Applied Sciences
poly(m-aminobenzoic acid),Pt(IV),4,20,1.417,Öztürk et al. 2020 SN Applied Sciences
poly(m-aminobenzoic acid),Pt(IV),4,30,1.928,Öztürk et al. 2020 SN Applied Sciences
poly(m-aminobenzoic acid),Pt(IV),4,40,2.082,Öztürk et al. 2020 SN Applied Sciences
chitosan-glutaraldehyde,Direct Blue 71,4,15,125.89,Lopez-Cervantes et al. 2018
chitosan-glutaraldehyde,Direct Blue 71,4,15,93.50,Lopez-Cervantes et al. 2018
chitosan-glutaraldehyde,Direct Blue 71,4,15,106.15,Lopez-Cervantes et al. 2018
chitosan-glutaraldehyde,Direct Blue 71,4,15,102.31,Lopez-Cervantes et al. 2018
chitosan-glutaraldehyde,Direct Blue 71,4,15,63.56,Lopez-Cervantes et al. 2018
chitosan-glutaraldehyde,Direct Blue 71,4,30,209.81,Lopez-Cervantes et al. 2018
chitosan-glutaraldehyde,Direct Blue 71,4,50,343.59,Lopez-Cervantes et al. 2018
MLDH-NH2@PANI,Cr(VI),3,50,205.2,Kinetic experiment (Qe
PEG,Pb(II),7,30,13.717,10.5829/ije.2025.38.02b.07
PEG,Cu(II),7,30,37.175,10.5829/ije.2025.38.02b.07
PEG,Cu(II),7,30,2.39,10.5829/ije.2025.38.02b.07
PVA,tetracycline,2,100,12.6,DOI:10.2478/eces-2021-0021
PVA,tetracycline,8,100,7.8,DOI:10.2478/eces-2021-0021
PVA,tetracycline,12,100,9.55,DOI:10.2478/eces-2021-0021
PVA,tetracycline,3,100,8.55,DOI:10.2478/eces-2021-0021
PVA,tetracycline,3,800,75.5,DOI:10.2478/eces-2021-0021
PPy–SD,Cr(VI),5.0,100,3.4,109
PPy/SH-beta/MCM-41,Hg(II),8.0,400,157.43,49
chitosan,methylene blue,6.2,20,14.02,Priyanga et al. 2026
chitosan,methylene blue,6.2,40,21.08,Priyanga et al. 2026
chitosan,methylene blue,6.2,60,17.48,Priyanga et al. 2026
